year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
1851,0.000088,0.000089,0.000090,0.000761,0.001043,0.001359,0.000226,0.000260,0.000290,0.001082,0.001451,0.001874
1852,0.000180,0.000183,0.000183,0.001549,0.002130,0.002766,0.000458,0.000526,0.000584,0.002195,0.002949,0.003795
1853,0.000276,0.000281,0.000281,0.002360,0.003228,0.004186,0.000697,0.000799,0.000884,0.003334,0.004463,0.005730
1854,0.000389,0.000395,0.000396,0.003195,0.004360,0.005639,0.000965,0.001103,0.001212,0.004511,0.006027,0.007710
1855,0.000504,0.000513,0.000513,0.004053,0.005518,0.007120,0.001236,0.001409,0.001543,0.005715,0.007619,0.009717
1856,0.000627,0.000638,0.000638,0.004925,0.006692,0.008615,0.001516,0.001725,0.001881,0.006933,0.009230,0.011738
1857,0.000751,0.000764,0.000765,0.005811,0.007885,0.010129,0.001797,0.002043,0.002218,0.008169,0.010864,0.013770
1858,0.000876,0.000892,0.000893,0.006710,0.009092,0.011659,0.002078,0.002361,0.002556,0.009417,0.012511,0.015821
1859,0.001009,0.001028,0.001030,0.007634,0.010326,0.013216,0.002373,0.002694,0.002907,0.010697,0.014194,0.017903
1860,0.001154,0.001177,0.001179,0.008517,0.011504,0.014669,0.002690,0.003048,0.003278,0.011946,0.015831,0.019887
1861,0.001308,0.001334,0.001337,0.009391,0.012673,0.015945,0.003018,0.003415,0.003641,0.013196,0.017471,0.021644
1862,0.001463,0.001494,0.001497,0.010248,0.013822,0.017317,0.003347,0.003784,0.004023,0.014430,0.019091,0.023551
1863,0.001629,0.001664,0.001668,0.011119,0.014980,0.018696,0.003692,0.004171,0.004424,0.015687,0.020731,0.025475
1864,0.001808,0.001848,0.001852,0.011997,0.016168,0.020058,0.004055,0.004578,0.004842,0.016956,0.022410,0.027378
1865,0.001997,0.002043,0.002048,0.012872,0.017344,0.021428,0.004431,0.004999,0.005275,0.018226,0.024084,0.029304
1866,0.002191,0.002245,0.002250,0.013744,0.018535,0.022809,0.004819,0.005435,0.005724,0.019502,0.025785,0.031251
1867,0.002399,0.002460,0.002467,0.014634,0.019722,0.024185,0.005219,0.005884,0.006184,0.020796,0.027483,0.033192
1868,0.002612,0.002682,0.002689,0.015524,0.020918,0.025560,0.005625,0.006341,0.006652,0.022094,0.029195,0.035135
1869,0.002839,0.002917,0.002926,0.016424,0.022126,0.026946,0.006048,0.006817,0.007138,0.023407,0.030927,0.037096
1870,0.003069,0.003158,0.003167,0.017443,0.023483,0.028499,0.006471,0.007296,0.007625,0.024837,0.032809,0.039201
1871,0.003313,0.003413,0.003424,0.018512,0.024882,0.030104,0.006915,0.007797,0.008139,0.026329,0.034745,0.041399
1872,0.003584,0.003696,0.003708,0.019648,0.026367,0.031809,0.007400,0.008341,0.008698,0.027906,0.036790,0.043725
1873,0.003871,0.003996,0.004010,0.020830,0.027893,0.033555,0.007909,0.008910,0.009284,0.029540,0.038888,0.046111
1874,0.004138,0.004278,0.004293,0.022018,0.029443,0.035328,0.008371,0.009435,0.009830,0.031160,0.040993,0.048515
1875,0.004429,0.004583,0.004600,0.023247,0.031027,0.037134,0.008867,0.009995,0.010412,0.032836,0.043151,0.050977
1876,0.004721,0.004892,0.004911,0.024490,0.032634,0.038969,0.009358,0.010554,0.010996,0.034526,0.045334,0.053479
1877,0.005020,0.005208,0.005228,0.025767,0.034279,0.040851,0.009857,0.011122,0.011591,0.036256,0.047566,0.056044
1878,0.005319,0.005526,0.005547,0.027068,0.035952,0.042734,0.010355,0.011692,0.012188,0.038014,0.049831,0.058612
1879,0.005640,0.005867,0.005889,0.028410,0.037672,0.044686,0.010878,0.012288,0.012815,0.039821,0.052153,0.061276
1880,0.006004,0.006252,0.006276,0.029779,0.039430,0.046584,0.011455,0.012942,0.013503,0.041671,0.054532,0.063912
1881,0.006380,0.006650,0.006675,0.031136,0.041180,0.048547,0.012050,0.013616,0.014210,0.043521,0.056918,0.066627
1882,0.006778,0.007071,0.007098,0.032535,0.042981,0.050557,0.012680,0.014326,0.014884,0.045437,0.059382,0.069237
1883,0.007200,0.007518,0.007547,0.033973,0.044826,0.052691,0.013339,0.015069,0.015663,0.047402,0.061905,0.072177
