year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1750,9.306,9.306,0.000,0.337,0.337,0.005,,,,,,,,,,,,,,,,,,
1751,9.407,9.407,0.000,9.471,9.471,0.005,,,,,,,,,,,,,,,,,,
1752,9.505,9.505,0.000,9.475,9.475,0.005,,,,,,,,,,,,,,,,,,
1753,9.610,9.610,0.000,9.475,9.475,0.005,,,,,,,,,,,,,,,,,,
1754,9.734,9.734,0.000,9.479,9.479,0.005,,,,,,,,,,,,,,,,,,
1755,9.793,9.793,0.000,9.483,9.483,0.005,,,,,,,,,,,,,,,,,,
1756,9.910,9.910,0.000,10.133,10.133,0.005,,,,,,,,,,,,,,,,,,
1757,10.094,10.094,0.000,10.137,10.137,0.005,,,,,,,,,,,,,,,,,,
1758,10.216,10.216,0.000,10.141,10.141,0.005,,,,,,,,,,,,,,,,,,
1759,10.339,10.339,0.000,10.145,10.145,0.005,,,,,,,,,,,,,,,,,,
1760,10.514,10.514,0.000,10.145,10.145,0.005,,,,,,,,,,,,,,,,,,
1761,10.748,10.748,0.000,11.109,11.109,0.005,,,,,,,,,,,,,,,,,,
1762,10.952,10.952,0.000,11.113,11.113,0.005,,,,,,,,,,,,,,,,,,
1763,11.192,11.192,0.000,11.117,11.117,0.005,,,,,,,,,,,,,,,,,,
1764,11.397,11.397,0.000,11.121,11.121,0.005,,,,,,,,,,,,,,,,,,
1765,11.643,11.643,0.000,11.125,11.125,0.005,,,,,,,,,,,,,,,,,,
1766,11.876,11.876,0.000,12.407,12.407,0.005,,,,,,,,,,,,,,,,,,
1767,12.153,12.153,0.000,12.411,12.411,0.005,,,,,,,,,,,,,,,,,,
1768,12.467,12.467,0.000,12.415,12.415,0.005,,,,,,,,,,,,,,,,,,
1769,12.780,12.780,0.000,12.419,12.419,0.005,,,,,,,,,,,,,,,,,,
