year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1850,194.244,196.749,0.099,201.086,203.658,0.026,194.244,196.749,0.099,,,,,,,,,,,,,,,
1851,195.799,198.668,0.110,203.481,206.512,0.026,195.799,198.668,0.110,,,,,,,,,,,,,,,
1852,203.973,207.414,0.181,212.346,215.995,0.027,203.973,207.414,0.181,,,,,,,,,,,,,,,
1853,213.539,217.120,0.117,222.600,226.441,0.028,213.539,217.120,0.117,,,,,,,,,,,,,,,
1854,251.014,255.033,0.005,261.597,265.929,0.033,251.014,255.033,0.005,,,,,,,,,,,,,,,
1855,255.111,260.094,0.166,266.345,271.411,0.033,255.111,260.094,0.166,,,,,,,,,,,,,,,
1856,272.467,277.681,0.565,284.180,289.820,0.036,272.467,277.681,0.565,,,,,,,,,,,,,,,
1857,274.710,280.293,0.888,286.930,292.984,0.037,274.710,280.293,0.888,,,,,,,,,,,,,,,
1858,277.948,284.549,0.999,290.788,297.525,0.038,277.948,284.549,0.999,,,,,,,,,,,,,,,
1859,295.212,301.783,0.789,308.299,314.962,0.041,295.212,301.783,0.789,,,,,,,,,,,,,,,
1860,323.917,331.231,1.068,337.859,345.302,0.047,323.917,331.231,1.068,,,,,,,,,,,,,,,
1861,340.181,348.191,1.000,355.665,363.863,0.052,340.181,348.191,1.000,,,,,,,,,,,,,,,
1862,345.755,355.047,0.944,361.421,370.923,0.051,345.755,355.047,0.944,,,,,,,,,,,,,,,
1863,367.890,378.515,1.019,384.368,395.252,0.054,367.890,378.515,1.019,,,,,,,,,,,,,,,
1864,396.420,408.324,1.201,413.665,425.852,0.048,396.420,408.324,1.201,,,,,,,,,,,,,,,
1865,420.148,433.436,1.416,438.590,452.209,0.051,420.148,433.436,1.416,,,,,,,,,,,,,,,
1866,431.704,447.106,1.961,450.398,466.228,0.064,431.704,447.106,1.961,,,,,,,,,,,,,,,
1867,461.532,478.750,2.064,483.066,500.747,0.069,461.532,478.750,2.064,,,,,,,,,,,,,,,
1868,473.622,492.115,2.379,496.152,515.152,0.066,473.622,492.115,2.379,,,,,,,,,,,,,,,
1869,502.308,522.589,2.142,525.710,546.553,0.074,502.308,522.589,2.142,,,,,,,,,,,,,,,
1870,512.166,533.909,2.214,536.931,559.289,0.078,512.166,533.909,2.214,,,,,,,,,,,,,,,
1871,541.798,567.426,2.350,568.485,594.819,0.089,541.798,567.426,2.350,,,,,,,,,,,,,,,
1872,600.344,627.844,3.118,630.270,658.516,0.095,600.344,627.844,3.118,,,,,,,,,,,,,,,
1873,638.151,667.052,3.416,669.873,699.558,0.097,638.151,667.052,3.416,,,,,,,,,,,,,,,
1874,593.272,624.797,3.866,622.150,654.650,0.103,593.272,624.797,3.866,,,,,,,,,,,,,,,
1875,645.163,677.667,3.381,678.320,711.841,0.114,645.163,677.667,3.381,,,,,,,,,,,,,,,
1876,649.203,687.218,3.364,683.373,722.856,0.129,649.203,687.218,3.364,,,,,,,,,,,,,,,
1877,663.044,700.867,3.166,697.869,737.191,0.133,663.044,700.867,3.166,,,,,,,,,,,,,,,
1878,664.909,706.561,3.088,697.263,740.610,0.084,664.909,706.561,3.088,,,,,,,,,,,,,,,
1879,712.617,756.586,3.208,748.343,794.133,0.089,712.617,756.586,3.208,,,,,,,,,,,,,,,
