year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1750,,,,160.020,265.900,517.951,,,,,,,,,,,,,,,,,,
1751,,,,169.908,276.301,519.233,,,,,,,,,,,,,,,,,,
1752,,,,170.640,277.546,520.515,,,,,,,,,,,,,,,,,,
1753,,,,171.365,278.785,521.797,,,,,,,,,,,,,,,,,,
1754,,,,172.094,280.027,523.079,,,,,,,,,,,,,,,,,,
1755,,,,172.822,281.267,524.360,,,,,,,,,,,,,,,,,,
1756,,,,174.313,283.272,525.642,,,,,,,,,,,,,,,,,,
1757,,,,175.039,284.511,526.924,,,,,,,,,,,,,,,,,,
1758,,,,175.763,285.748,528.205,,,,,,,,,,,,,,,,,,
1759,,,,176.486,286.984,529.486,,,,,,,,,,,,,,,,,,
1760,,,,177.204,288.215,530.768,,,,,,,,,,,,,,,,,,
1761,,,,179.103,290.652,531.822,,,,,,,,,,,,,,,,,,
1762,,,,179.865,291.951,532.876,,,,,,,,,,,,,,,,,,
1763,,,,180.625,293.248,533.930,,,,,,,,,,,,,,,,,,
1764,,,,181.384,294.545,534.984,,,,,,,,,,,,,,,,,,
1765,,,,182.142,295.840,536.038,,,,,,,,,,,,,,,,,,
1766,,,,184.412,298.646,537.092,,,,,,,,,,,,,,,,,,
1767,,,,185.168,299.939,538.145,,,,,,,,,,,,,,,,,,
1768,,,,185.922,301.231,539.199,,,,,,,,,,,,,,,,,,
1769,,,,186.676,302.521,540.253,,,,,,,,,,,,,,,,,,
1770,,,,187.428,303.810,541.306,,,,,,,,,,,,,,,,,,
1771,,,,190.084,307.028,546.474,,,,,,,,,,,,,,,,,,
1772,,,,191.147,308.653,551.642,,,,,,,,,,,,,,,,,,
1773,,,,192.209,310.277,556.809,,,,,,,,,,,,,,,,,,
1774,,,,193.269,311.900,561.976,,,,,,,,,,,,,,,,,,
1775,,,,194.328,313.521,567.142,,,,,,,,,,,,,,,,,,
1776,,,,197.065,316.819,572.308,,,,,,,,,,,,,,,,,,
1777,,,,198.170,318.486,577.473,,,,,,,,,,,,,,,,,,
1778,,,,199.276,320.153,582.638,,,,,,,,,,,,,,,,,,
1779,,,,200.381,321.821,587.803,,,,,,,,,,,,,,,,,,
1780,,,,201.492,323.493,592.967,,,,,,,,,,,,,,,,,,
1781,,,,205.016,327.604,594.870,,,,,,,,,,,,,,,,,,
1782,,,,206.413,329.588,596.772,,,,,,,,,,,,,,,,,,
1783,,,,207.815,331.578,598.674,,,,,,,,,,,,,,,,,,
1784,,,,209.215,333.564,600.576,,,,,,,,,,,,,,,,,,
1785,,,,210.655,335.591,602.478,,,,,,,,,,,,,,,,,,
1786,,,,214.776,340.299,604.380,,,,,,,,,,,,,,,,,,
1787,,,,216.184,342.294,606.282,,,,,,,,,,,,,,,,,,
1788,,,,217.588,344.285,608.183,,,,,,,,,,,,,,,,,,
1789,,,,218.999,346.282,610.084,,,,,,,,,,,,,,,,,,
1790,,,,220.410,348.281,611.985,,,,,,,,,,,,,,,,,,
1791,,,,224.585,353.069,611.700,,,,,,,,,,,,,,,,,,
1792,,,,226.655,355.752,611.414,,,,,,,,,,,,,,,,,,
1793,,,,228.178,357.889,611.129,,,,,,,,,,,,,,,,,,
1794,,,,229.641,359.965,610.843,,,,,,,,,,,,,,,,,,
1795,,,,231.158,362.095,610.558,,,,,,,,,,,,,,,,,,
1796,,,,233.926,365.476,610.273,,,,,,,,,,,,,,,,,,
1797,,,,236.796,368.959,609.987,,,,,,,,,,,,,,,,,,
1798,,,,239.496,372.272,609.702,,,,,,,,,,,,,,,,,,
1799,,,,242.595,375.984,609.417,,,,,,,,,,,,,,,,,,
