year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1850,451.178,526.499,155.825,919.770,1118.044,445.293,,,,,,,,,,,,,,,,,,
1851,453.640,530.119,155.338,927.349,1128.338,444.807,,,,,,,,,,,,,,,,,,
1852,464.616,542.494,154.969,943.150,1147.033,444.373,,,,,,,,,,,,,,,,,,
1853,477.858,556.675,154.472,961.112,1167.424,443.937,,,,,,,,,,,,,,,,,,
1854,524.387,604.465,153.513,1013.826,1222.866,442.079,,,,,,,,,,,,,,,,,,
1855,530.998,612.935,153.243,1025.042,1237.099,441.612,,,,,,,,,,,,,,,,,,
1856,553.154,636.111,153.195,1051.393,1266.172,441.113,,,,,,,,,,,,,,,,,,
1857,558.114,642.269,152.358,1064.751,1282.093,435.749,,,,,,,,,,,,,,,,,,
1858,563.034,649.133,152.036,1073.943,1294.167,435.202,,,,,,,,,,,,,,,,,,
1859,585.563,672.351,151.393,1099.998,1322.103,434.627,,,,,,,,,,,,,,,,,,
1860,621.234,709.483,151.241,1139.793,1364.308,434.025,,,,,,,,,,,,,,,,,,
1861,648.090,735.982,145.842,1183.731,1406.038,419.619,,,,,,,,,,,,,,,,,,
1862,655.240,745.280,145.688,1194.359,1419.789,419.890,,,,,,,,,,,,,,,,,,
1863,683.273,775.534,146.059,1226.480,1455.127,420.270,,,,,,,,,,,,,,,,,,
1864,716.075,812.619,145.408,1258.907,1499.497,417.259,,,,,,,,,,,,,,,,,,
1865,744.663,843.526,145.527,1291.722,1535.661,417.511,,,,,,,,,,,,,,,,,,
1866,761.361,863.410,146.005,1311.654,1559.787,417.892,,,,,,,,,,,,,,,,,,
1867,794.156,899.020,146.015,1350.440,1602.404,418.152,,,,,,,,,,,,,,,,,,
1868,808.276,915.232,146.211,1368.835,1623.931,418.329,,,,,,,,,,,,,,,,,,
1869,842.342,951.811,145.901,1407.232,1665.490,418.617,,,,,,,,,,,,,,,,,,
1870,854.309,966.297,145.728,1423.839,1689.315,415.090,,,,,,,,,,,,,,,,,,
1871,888.005,1005.322,146.698,1464.739,1737.729,417.720,,,,,,,,,,,,,,,,,,
1872,956.685,1076.990,147.963,1543.200,1821.714,420.428,,,,,,,,,,,,,,,,,,
