y_pos,label,method_a,method_b,method_c,abs_share
1,CO2 excl. LULUCF — Annex I,35.78,45.10,28.66,62.09
2,CO2 excl. LULUCF — Annex II,24.00,26.83,19.04,48.62
3,,,,,
4,All GHG excl. LULUCF — Annex I,38.05,49.75,31.42,59.40
5,All GHG excl. LULUCF — Annex II,25.32,29.29,20.73,45.86
6,,,,,
7,CO2 incl. LULUCF — Annex I,25.62,38.52,24.24,51.21
8,CO2 incl. LULUCF — Annex II,17.60,22.53,16.22,37.73
9,,,,,
10,All GHG incl. LULUCF — Annex I,28.65,41.86,26.98,49.39
11,All GHG incl. LULUCF — Annex II,20.26,24.88,18.32,36.44
