measure,year,annex2_OWID,annex1_OWID,annex2_PRIMAP,annex1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,annex2_EDGAR,annex1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch
co2_excLUC,1850,98.268,99.944,98.318,99.979,98.268,99.944,,,,,,,,
co2_excLUC,1851,98.066,99.944,98.087,99.978,98.066,99.944,,,,,,,,
co2_excLUC,1852,97.758,99.913,97.804,99.976,97.758,99.913,,,,,,,,
co2_excLUC,1853,97.801,99.946,97.797,99.974,97.801,99.946,,,,,,,,
co2_excLUC,1854,97.954,99.998,97.893,99.973,97.954,99.998,,,,,,,,
co2_excLUC,1855,97.476,99.924,97.582,99.970,97.476,99.924,,,,,,,,
co2_excLUC,1856,97.217,99.659,97.476,99.970,97.217,99.659,,,,,,,,
co2_excLUC,1857,96.973,99.556,97.326,99.968,96.973,99.556,,,,,,,,
co2_excLUC,1858,96.398,99.377,96.907,99.824,96.398,99.377,,,,,,,,
co2_excLUC,1859,96.656,99.408,97.066,99.749,96.656,99.408,,,,,,,,
co2_excLUC,1860,96.594,99.376,97.039,99.761,96.594,99.376,,,,,,,,
co2_excLUC,1861,96.484,99.421,96.927,99.808,96.484,99.421,,,,,,,,
co2_excLUC,1862,95.984,99.393,96.451,99.799,95.984,99.393,,,,,,,,
co2_excLUC,1863,95.741,99.452,96.138,99.794,95.741,99.452,,,,,,,,
co2_excLUC,1864,95.493,99.389,95.960,99.813,95.493,99.389,,,,,,,,
co2_excLUC,1865,95.259,99.384,95.743,99.826,95.259,99.384,,,,,,,,
co2_excLUC,1866,94.728,99.212,95.292,99.755,94.728,99.212,,,,,,,,
co2_excLUC,1867,94.672,99.357,95.100,99.747,94.672,99.357,,,,,,,,
co2_excLUC,1868,94.361,99.331,94.820,99.748,94.361,99.331,,,,,,,,
co2_excLUC,1869,94.280,99.376,94.655,99.715,94.280,99.376,,,,,,,,
co2_excLUC,1870,94.021,99.380,94.376,99.690,94.021,99.380,,,,,,,,
co2_excLUC,1871,93.509,99.366,93.853,99.653,93.509,99.366,,,,,,,,
co2_excLUC,1872,93.600,99.301,94.015,99.664,93.600,99.301,,,,,,,,
co2_excLUC,1873,93.612,99.301,94.036,99.672,93.612,99.301,,,,,,,,
co2_excLUC,1874,92.560,99.160,93.041,99.609,92.560,99.160,,,,,,,,
co2_excLUC,1875,93.018,99.278,93.393,99.607,93.018,99.278,,,,,,,,
co2_excLUC,1876,91.801,99.273,92.103,99.567,91.801,99.273,,,,,,,,
co2_excLUC,1877,92.003,99.308,92.265,99.565,92.003,99.308,,,,,,,,
co2_excLUC,1878,91.158,99.004,91.624,99.499,91.158,99.004,,,,,,,,
co2_excLUC,1879,91.262,99.058,91.720,99.537,91.262,99.058,,,,,,,,
co2_excLUC,1880,91.789,99.070,92.260,99.533,91.789,99.070,,,,,,,,
co2_excLUC,1881,91.806,99.063,92.250,99.537,91.806,99.063,,,,,,,,
co2_excLUC,1882,91.930,99.052,92.367,99.511,91.930,99.052,,,,,,,,
co2_excLUC,1883,91.660,99.031,92.093,99.482,91.660,99.031,,,,,,,,
co2_excLUC,1884,91.410,98.954,91.887,99.449,91.410,98.954,,,,,,,,
co2_excLUC,1885,91.057,98.943,91.552,99.452,91.057,98.943,,,,,,,,
co2_excLUC,1886,90.966,98.952,91.411,99.421,90.966,98.952,,,,,,,,
co2_excLUC,1887,91.016,98.880,91.402,99.295,91.016,98.880,,,,,,,,
co2_excLUC,1888,91.150,98.841,91.614,99.335,91.150,98.841,,,,,,,,
co2_excLUC,1889,90.404,98.657,90.910,99.183,90.404,98.657,,,,,,,,
co2_excLUC,1890,90.638,98.761,91.054,99.194,90.638,98.761,,,,,,,,
co2_excLUC,1891,90.368,98.685,90.817,99.153,90.368,98.685,,,,,,,,
co2_excLUC,1892,90.294,98.544,90.749,99.023,90.294,98.544,,,,,,,,
co2_excLUC,1893,89.371,98.320,89.818,98.779,89.371,98.320,,,,,,,,
co2_excLUC,1894,89.367,98.195,89.894,98.730,89.367,98.195,,,,,,,,
co2_excLUC,1895,89.093,98.070,89.532,98.519,89.093,98.070,,,,,,,,
co2_excLUC,1896,88.887,97.967,89.341,98.429,88.887,97.967,,,,,,,,
co2_excLUC,1897,88.571,97.908,89.002,98.346,88.571,97.908,,,,,,,,
co2_excLUC,1898,88.147,97.750,88.585,98.185,88.147,97.750,,,,,,,,
co2_excLUC,1899,88.413,97.790,88.839,98.213,88.413,97.790,,,,,,,,
co2_excLUC,1900,88.508,97.929,88.924,98.316,88.508,97.929,,,,,,,,
co2_excLUC,1901,88.202,97.711,88.439,97.920,88.202,97.711,,,,,,,,
co2_excLUC,1902,88.525,97.618,88.731,97.805,88.525,97.618,,,,,,,,
co2_excLUC,1903,89.112,97.594,89.265,97.724,89.112,97.594,,,,,,,,
co2_excLUC,1904,88.594,97.379,88.716,97.485,88.594,97.379,,,,,,,,
co2_excLUC,1905,89.125,97.381,89.318,97.552,89.125,97.381,,,,,,,,
co2_excLUC,1906,88.572,97.126,88.246,96.722,88.572,97.126,,,,,,,,
co2_excLUC,1907,88.257,96.491,88.650,96.872,88.257,96.491,,,,,,,,
co2_excLUC,1908,87.216,96.065,87.472,96.266,87.216,96.065,,,,,,,,
co2_excLUC,1909,87.290,96.074,87.644,96.408,87.290,96.074,,,,,,,,
co2_excLUC,1910,87.823,96.081,88.189,96.426,87.823,96.081,,,,,,,,
co2_excLUC,1911,87.372,95.851,87.513,95.941,87.372,95.851,,,,,,,,
co2_excLUC,1912,87.177,96.067,87.598,96.437,87.177,96.067,,,,,,,,
co2_excLUC,1913,87.058,95.798,87.583,96.282,87.058,95.798,,,,,,,,
co2_excLUC,1914,87.174,95.594,87.590,95.990,87.174,95.594,,,,,,,,
co2_excLUC,1915,87.419,95.599,87.684,95.837,87.419,95.599,,,,,,,,
co2_excLUC,1916,87.326,95.516,87.641,95.844,87.326,95.516,,,,,,,,
co2_excLUC,1917,87.495,95.341,87.799,95.706,87.495,95.341,,,,,,,,
co2_excLUC,1918,89.491,95.185,89.902,95.601,89.491,95.185,,,,,,,,
co2_excLUC,1919,90.783,93.727,91.211,94.228,90.783,93.727,,,,,,,,
co2_excLUC,1920,88.942,93.534,89.484,94.098,88.942,93.534,,,,,,,,
co2_excLUC,1921,86.817,92.139,87.408,92.745,86.817,92.139,,,,,,,,
co2_excLUC,1922,87.374,92.526,87.899,93.033,87.374,92.526,,,,,,,,
co2_excLUC,1923,88.925,93.186,89.333,93.593,88.925,93.186,,,,,,,,
co2_excLUC,1924,88.250,92.879,88.612,93.247,88.250,92.879,,,,,,,,
co2_excLUC,1925,88.609,93.136,88.950,93.450,88.609,93.136,,,,,,,,
co2_excLUC,1926,87.884,93.205,87.966,93.243,87.884,93.205,,,,,,,,
co2_excLUC,1927,87.966,93.733,87.910,93.677,87.966,93.733,,,,,,,,
co2_excLUC,1928,87.362,93.587,86.968,93.140,87.362,93.587,,,,,,,,
co2_excLUC,1929,87.347,93.800,86.802,93.168,87.347,93.800,,,,,,,,
co2_excLUC,1930,85.992,93.300,85.151,92.390,85.992,93.300,,,,,,,,
co2_excLUC,1931,84.049,92.867,83.265,92.011,84.049,92.867,,,,,,,,
co2_excLUC,1932,82.269,92.105,81.479,91.231,82.269,92.105,,,,,,,,
co2_excLUC,1933,82.069,91.969,81.270,91.084,82.069,91.969,,,,,,,,
co2_excLUC,1934,81.118,91.613,80.244,90.642,81.118,91.613,,,,,,,,
co2_excLUC,1935,80.242,91.165,79.232,90.035,80.242,91.165,,,,,,,,
co2_excLUC,1936,80.294,91.451,79.196,90.239,80.294,91.451,,,,,,,,
co2_excLUC,1937,80.407,91.270,79.241,89.976,80.407,91.270,,,,,,,,
co2_excLUC,1938,78.436,90.684,77.031,89.115,78.436,90.684,,,,,,,,
co2_excLUC,1939,78.915,90.529,77.507,88.927,78.915,90.529,,,,,,,,
co2_excLUC,1940,75.935,90.557,74.837,89.313,75.935,90.557,,,,,,,,
co2_excLUC,1941,77.570,90.763,76.220,89.332,77.570,90.763,,,,,,,,
co2_excLUC,1942,80.888,91.266,78.963,90.279,80.888,91.266,,,,,,,,
co2_excLUC,1943,80.751,91.609,77.356,90.119,80.751,91.609,,,,,,,,
co2_excLUC,1944,79.238,91.267,77.378,89.431,79.238,91.267,,,,,,,,
co2_excLUC,1945,79.592,90.476,76.777,87.645,79.592,90.476,,,,,,,,
co2_excLUC,1946,78.390,90.656,74.927,86.933,78.390,90.656,,,,,,,,
co2_excLUC,1947,78.131,90.481,75.593,87.816,78.131,90.481,,,,,,,,
co2_excLUC,1948,78.524,90.987,76.136,88.533,78.524,90.987,,,,,,,,
co2_excLUC,1949,75.864,90.623,72.866,87.395,75.864,90.623,,,,,,,,
