year,co2_fossil_Mt,nonco2_fossil_Mt,co2_lulucf_Mt,nonco2_lulucf_Mt
1850,196.848,485.477,3435.895,175.092
1851,198.779,486.678,3585.161,138.551
1852,207.595,489.868,3706.340,119.908
1853,217.237,493.911,3752.304,97.947
1854,255.039,502.939,3802.972,93.039
1855,260.260,505.918,3871.364,82.470
1856,278.246,511.060,3895.169,80.088
1857,281.181,513.446,3941.941,86.219
1858,285.548,515.621,3966.841,87.024
1859,302.572,521.172,4013.125,88.882
1860,332.298,528.426,3584.640,261.744
1861,349.190,532.634,3396.720,324.881
1862,355.991,534.977,3276.014,375.960
1863,379.535,542.058,3218.454,408.609
1864,409.525,548.502,3227.126,428.243
1865,434.851,554.201,3130.336,451.245
1866,449.067,560.348,3130.554,468.352
1867,480.814,564.221,3072.384,485.109
1868,494.494,566.949,3048.498,501.810
1869,524.731,572.981,3033.819,513.839
1870,536.123,575.902,3519.986,387.819
1871,569.777,582.243,3645.245,357.715
1872,630.961,593.991,3835.625,340.357
1873,670.467,602.527,3909.555,332.356
1874,628.662,600.708,4027.507,331.860
1875,681.048,610.388,4056.965,340.755
1876,690.583,614.707,4116.641,353.379
1877,704.033,619.736,4215.276,360.466
1878,709.650,623.314,4276.679,369.440
1879,759.794,632.073,4330.606,386.437
1880,858.228,646.734,4357.219,405.698
1881,888.173,654.728,4337.214,418.217
1882,938.158,663.054,4424.343,423.313
1883,997.862,673.023,4480.658,439.044
1884,1009.762,675.307,4484.677,451.708
1885,1017.489,677.449,4488.122,465.285
1886,1032.987,680.825,4483.480,476.245
1887,1084.283,689.623,4540.654,489.032
1888,1201.342,705.070,4524.960,507.595
1889,1202.097,707.671,4562.236,516.429
1890,1307.255,725.950,4868.097,509.648
1891,1369.598,735.842,4952.779,527.049
1892,1380.536,739.640,4924.640,543.227
1893,1363.180,738.003,4956.059,561.575
1894,1412.227,748.639,5040.940,574.007
1895,1495.964,762.735,5028.208,585.526
1896,1545.451,770.563,5034.431,606.862
1897,1618.405,783.148,5107.461,616.204
1898,1706.967,796.971,5118.520,633.053
1899,1864.424,819.708,5149.811,649.400
1900,1962.884,837.463,5254.835,589.692
1901,2025.628,848.499,5435.258,546.737
1902,2076.956,856.584,5514.497,522.852
1903,2264.592,882.128,5572.009,513.968
1904,2290.255,888.368,5689.378,518.937
1905,2440.571,904.912,5730.204,522.638
1906,2548.978,928.194,5804.903,528.521
