measure,year,fossil_industry_Mt,lulucf_Mt
CO2,1850,196.848,3435.895
CO2,1851,198.779,3585.161
CO2,1852,207.595,3706.340
CO2,1853,217.237,3752.304
CO2,1854,255.039,3802.972
CO2,1855,260.260,3871.364
CO2,1856,278.246,3895.169
CO2,1857,281.181,3941.941
CO2,1858,285.548,3966.841
CO2,1859,302.572,4013.125
CO2,1860,332.298,3584.640
CO2,1861,349.190,3396.720
CO2,1862,355.991,3276.014
CO2,1863,379.535,3218.454
CO2,1864,409.525,3227.126
CO2,1865,434.851,3130.336
CO2,1866,449.067,3130.554
CO2,1867,480.814,3072.384
CO2,1868,494.494,3048.498
CO2,1869,524.731,3033.819
CO2,1870,536.123,3519.986
CO2,1871,569.777,3645.245
CO2,1872,630.961,3835.625
CO2,1873,670.467,3909.555
CO2,1874,628.662,4027.507
CO2,1875,681.048,4056.965
CO2,1876,690.583,4116.641
CO2,1877,704.033,4215.276
CO2,1878,709.650,4276.679
CO2,1879,759.794,4330.606
CO2,1880,858.228,4357.219
CO2,1881,888.173,4337.214
CO2,1882,938.158,4424.343
CO2,1883,997.862,4480.658
CO2,1884,1009.762,4484.677
CO2,1885,1017.489,4488.122
CO2,1886,1032.987,4483.480
CO2,1887,1084.283,4540.654
CO2,1888,1201.342,4524.960
CO2,1889,1202.097,4562.236
CO2,1890,1307.255,4868.097
CO2,1891,1369.598,4952.779
CO2,1892,1380.536,4924.640
CO2,1893,1363.180,4956.059
CO2,1894,1412.227,5040.940
CO2,1895,1495.964,5028.208
CO2,1896,1545.451,5034.431
CO2,1897,1618.405,5107.461
CO2,1898,1706.967,5118.520
CO2,1899,1864.424,5149.811
CO2,1900,1962.884,5254.835
CO2,1901,2025.628,5435.258
CO2,1902,2076.956,5514.497
CO2,1903,2264.592,5572.009
CO2,1904,2290.255,5689.378
CO2,1905,2440.571,5730.204
CO2,1906,2548.978,5804.903
CO2,1907,2904.949,5815.645
CO2,1908,2790.395,5860.204
CO2,1909,2907.112,5940.343
CO2,1910,3050.273,5607.985
CO2,1911,3097.207,5528.932
CO2,1912,3253.929,5391.203
CO2,1913,3524.846,5315.215
CO2,1914,3197.750,5303.969
CO2,1915,3148.031,5210.220
CO2,1916,3400.232,5181.052
CO2,1917,3556.498,5072.027
CO2,1918,3506.085,5022.305
CO2,1919,3041.113,4968.476
CO2,1920,3546.758,5596.946
CO2,1921,3114.994,5877.883
CO2,1922,3264.717,5996.829
CO2,1923,3702.996,6161.665
CO2,1924,3716.143,6140.246
CO2,1925,3740.633,6288.117
CO2,1926,3677.407,6323.803
CO2,1927,4012.947,6334.439
CO2,1928,3996.311,6401.638
CO2,1929,4288.210,6462.386
CO2,1930,3958.094,6511.381
CO2,1931,3539.319,6585.620
CO2,1932,3192.590,6617.401
CO2,1933,3362.682,6558.369
CO2,1934,3656.186,6612.296
CO2,1935,3835.741,6542.524
CO2,1936,4207.929,6675.974
