measure,year,usa,euro_a2,other_a2,other_ai,chn,ind,nai_g20,other_non_ai
co2_excLUC,1850,19.793,173.474,0.171,3.300,,,,0.110
co2_excLUC,1851,24.633,170.125,0.176,3.734,,,,0.110
co2_excLUC,1852,26.791,175.959,0.190,4.474,,,,0.181
co2_excLUC,1853,30.162,182.043,0.255,4.661,,,,0.117
co2_excLUC,1854,33.159,216.352,0.308,5.214,,,,0.005
co2_excLUC,1855,38.161,215.163,0.366,6.371,,,,0.199
co2_excLUC,1856,40.037,229.988,0.478,6.793,,,0.252,0.697
co2_excLUC,1857,41.055,231.068,0.547,7.262,,,0.317,0.932
co2_excLUC,1858,41.649,233.010,0.604,8.506,,0.394,0.353,1.031
co2_excLUC,1859,45.320,246.334,0.800,8.326,,0.636,0.415,0.741
co2_excLUC,1860,47.438,272.561,0.981,9.245,,0.643,0.481,0.949
co2_excLUC,1861,45.679,290.214,1.019,10.256,,0.497,0.472,1.052
co2_excLUC,1862,47.449,292.896,1.348,12.137,,0.550,0.430,1.181
co2_excLUC,1863,54.810,307.138,1.424,14.085,,0.610,0.509,0.959
co2_excLUC,1864,58.657,330.665,1.746,15.954,,0.577,0.538,1.389
co2_excLUC,1865,58.822,353.422,1.992,17.935,,0.567,0.681,1.432
co2_excLUC,1866,59.232,363.637,2.522,20.138,,0.640,0.823,2.075
co2_excLUC,1867,72.866,379.499,2.834,22.522,,,0.672,2.422
co2_excLUC,1868,82.352,381.770,2.489,24.574,,,0.915,2.393
co2_excLUC,1869,93.696,398.852,2.168,26.741,,,0.783,2.491
co2_excLUC,1870,98.620,402.806,2.644,28.728,,,0.869,2.456
co2_excLUC,1871,103.021,426.523,3.247,33.372,,,1.031,2.583
co2_excLUC,1872,126.305,460.755,3.516,35.976,,,1.053,3.355
co2_excLUC,1873,139.507,484.549,3.579,38.144,,,1.250,3.438
co2_excLUC,1874,134.297,443.256,4.335,41.493,,,1.253,4.029
co2_excLUC,1875,135.748,492.288,5.459,42.639,,,1.107,3.808
co2_excLUC,1876,132.820,495.725,5.419,51.599,,,1.008,4.012
co2_excLUC,1877,147.176,494.874,5.684,51.427,,,1.026,3.846
