measure,year,annex2_OWID,annex1_OWID,non_annex1_OWID,annex2_PRIMAP,annex1_PRIMAP,non_annex1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,non_annex1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,non_annex1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,non_annex1_GCP_OSCAR,annex2_EDGAR,annex1_EDGAR,non_annex1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,non_annex1_ClimateWatch,annex2_GMST,annex1_GMST
co2_excLUC,1850,193.438,196.738,0.110,200.258,203.641,0.043,193.438,196.738,0.110,,,,,,,,,,,,,48.619,62.092
co2_excLUC,1851,194.934,198.668,0.110,202.587,206.493,0.045,194.934,198.668,0.110,,,,,,,,,,,,,48.619,62.092
co2_excLUC,1852,202.940,207.414,0.181,211.279,215.970,0.051,202.940,207.414,0.181,,,,,,,,,,,,,48.614,62.088
co2_excLUC,1853,212.460,217.120,0.117,221.481,226.410,0.060,212.460,217.120,0.117,,,,,,,,,,,,,48.608,62.083
co2_excLUC,1854,249.819,255.033,0.005,260.357,265.890,0.071,249.819,255.033,0.005,,,,,,,,,,,,,48.602,62.079
co2_excLUC,1855,253.690,260.061,0.199,264.881,271.364,0.080,253.690,260.061,0.199,,,,,,,,,,,,,48.595,62.073
co2_excLUC,1856,270.503,277.296,0.949,282.540,289.769,0.087,270.503,277.296,0.949,,,,,,,,,,,,,48.588,62.068
co2_excLUC,1857,272.670,279.932,1.249,285.185,292.927,0.094,272.670,279.932,1.249,,,,,,,,,,,,,48.581,62.062
co2_excLUC,1858,275.263,283.770,1.779,288.359,297.039,0.525,275.263,283.770,1.779,,,,,,,,,,,,,48.573,62.056
co2_excLUC,1859,292.454,300.780,1.792,305.761,314.214,0.790,292.454,300.780,1.792,,,,,,,,,,,,,48.565,62.050
co2_excLUC,1860,320.980,330.225,2.073,335.122,344.525,0.825,320.980,330.225,2.073,,,,,,,,,,,,,48.557,62.044
co2_excLUC,1861,336.912,347.169,2.022,352.731,363.216,0.699,336.912,347.169,2.022,,,,,,,,,,,,,48.548,62.037
co2_excLUC,1862,341.694,353.830,2.161,357.809,370.230,0.744,341.694,353.830,2.161,,,,,,,,,,,,,48.539,62.030
co2_excLUC,1863,363.372,377.457,2.078,380.039,394.490,0.815,363.372,377.457,2.078,,,,,,,,,,,,,48.530,62.022
co2_excLUC,1864,391.068,407.022,2.503,408.692,425.102,0.798,391.068,407.022,2.503,,,,,,,,,,,,,48.520,62.014
co2_excLUC,1865,414.236,432.171,2.681,433.008,451.475,0.785,414.236,432.171,2.681,,,,,,,,,,,,,48.509,62.006
co2_excLUC,1866,425.392,445.530,3.537,444.340,465.151,1.141,425.392,445.530,3.537,,,,,,,,,,,,,48.498,61.997
co2_excLUC,1867,455.198,477.720,3.094,476.276,499.548,1.268,455.198,477.720,3.094,,,,,,,,,,,,,48.486,61.987
co2_excLUC,1868,466.611,491.185,3.308,488.532,513.918,1.300,466.611,491.185,3.308,,,,,,,,,,,,,48.474,61.977
co2_excLUC,1869,494.716,521.457,3.274,517.411,545.068,1.559,494.716,521.457,3.274,,,,,,,,,,,,,48.461,61.967
co2_excLUC,1870,504.070,532.799,3.325,527.908,557.635,1.732,504.070,532.799,3.325,,,,,,,,,,,,,48.448,61.956
co2_excLUC,1871,532.791,566.163,3.614,558.337,592.846,2.062,532.791,566.163,3.614,,,,,,,,,,,,,48.434,61.945
co2_excLUC,1872,590.577,626.553,4.408,619.195,656.396,2.215,590.577,626.553,4.408,,,,,,,,,,,,,48.420,61.933
co2_excLUC,1873,627.636,665.779,4.688,657.924,697.361,2.293,627.635,665.779,4.688,,,,,,,,,,,,,48.404,61.920
co2_excLUC,1874,581.888,623.380,5.282,609.186,652.191,2.561,581.888,623.380,5.282,,,,,,,,,,,,,48.387,61.906
co2_excLUC,1875,633.494,676.133,4.915,664.917,709.158,2.798,633.494,676.133,4.915,,,,,,,,,,,,,48.371,61.893
co2_excLUC,1876,633.964,685.562,5.020,665.891,719.857,3.128,633.964,685.562,5.020,,,,,,,,,,,,,48.354,61.879
co2_excLUC,1877,647.734,699.162,4.871,680.289,734.114,3.210,647.734,699.162,4.871,,,,,,,,,,,,,48.337,61.864
co2_excLUC,1878,646.902,702.582,7.067,678.654,736.985,3.709,646.902,702.582,7.067,,,,,,,,,,,,,48.320,61.849
co2_excLUC,1879,693.403,752.640,7.155,728.459,790.548,3.674,693.403,752.640,7.155,,,,,,,,,,,,,48.303,61.835
co2_excLUC,1880,787.756,850.247,7.981,831.269,896.803,4.208,787.756,850.247,7.981,,,,,,,,,,,,,48.285,61.819
co2_excLUC,1881,815.392,879.853,8.319,856.412,924.068,4.294,815.392,879.853,8.319,,,,,,,,,,,,,48.264,61.801
co2_excLUC,1882,862.444,929.265,8.893,906.864,977.008,4.800,862.444,929.265,8.893,,,,,,,,,,,,,48.242,61.782
co2_excLUC,1883,914.636,988.192,9.671,961.882,1039.061,5.406,914.636,988.192,9.671,,,,,,,,,,,,,48.219,61.763
co2_excLUC,1884,923.023,999.204,10.558,971.203,1051.135,5.821,923.023,999.204,10.558,,,,,,,,,,,,,48.195,61.742
co2_excLUC,1885,926.500,1006.731,10.758,976.273,1060.520,5.841,926.500,1006.731,10.758,,,,,,,,,,,,,48.171,61.721
co2_excLUC,1886,939.666,1022.164,10.823,989.562,1076.271,6.269,939.666,1022.164,10.823,,,,,,,,,,,,,48.146,61.699
co2_excLUC,1887,986.875,1072.134,12.149,1038.939,1128.653,8.014,986.875,1072.134,12.149,,,,,,,,,,,,,48.121,61.678
co2_excLUC,1888,1095.025,1187.414,13.927,1152.984,1250.148,8.371,1095.025,1187.414,13.927,,,,,,,,,,,,,48.095,61.655
co2_excLUC,1889,1086.749,1185.948,16.150,1145.888,1250.171,10.297,1086.749,1185.948,16.150,,,,,,,,,,,,,48.066,61.630
co2_excLUC,1890,1184.876,1291.053,16.202,1249.345,1361.032,11.061,1184.876,1291.053,16.202,,,,,,,,,,,,,48.037,61.605
co2_excLUC,1891,1237.676,1351.584,18.015,1305.387,1425.208,12.180,1237.676,1351.584,18.015,,,,,,,,,,,,,48.006,61.577
co2_excLUC,1892,1246.539,1360.430,20.106,1314.862,1434.749,14.156,1246.539,1360.430,20.106,,,,,,,,,,,,,47.973,61.549
co2_excLUC,1893,1218.284,1340.285,22.895,1287.697,1416.162,17.506,1218.284,1340.285,22.895,,,,,,,,,,,,,47.940,61.520
co2_excLUC,1894,1262.067,1386.730,25.497,1334.756,1465.957,18.851,1262.067,1386.730,25.497,,,,,,,,,,,,,47.908,61.492
co2_excLUC,1895,1332.797,1467.089,28.875,1409.445,1550.927,23.313,1332.797,1467.089,28.875,,,,,,,,,,,,,47.875,61.462
co2_excLUC,1896,1373.699,1514.026,31.425,1452.633,1600.403,25.541,1373.699,1514.026,31.425,,,,,,,,,,,,,47.840,61.431
co2_excLUC,1897,1433.442,1584.544,33.861,1517.102,1676.373,28.189,1433.442,1584.544,33.861,,,,,,,,,,,,,47.804,61.399
co2_excLUC,1898,1504.634,1668.564,38.402,1592.796,1765.415,32.626,1504.634,1668.564,38.402,,,,,,,,,,,,,47.767,61.366
co2_excLUC,1899,1648.388,1823.227,41.197,1746.196,1930.450,35.130,1648.388,1823.227,41.197,,,,,,,,,,,,,47.728,61.331
co2_excLUC,1900,1737.314,1922.241,40.643,1844.512,2039.333,34.926,1737.314,1922.241,40.643,,,,,,,,,,,,,47.685,61.292
co2_excLUC,1901,1786.642,1979.263,46.365,1893.808,2096.818,44.546,1786.642,1979.263,46.365,,,,,,,,,,,,,47.639,61.251
co2_excLUC,1902,1838.635,2027.478,49.478,1947.749,2146.927,48.182,1838.635,2027.478,49.478,,,,,,,,,,,,,47.592,61.209
co2_excLUC,1903,2018.014,2210.097,54.495,2136.312,2338.750,54.465,2018.014,2210.097,54.495,,,,,,,,,,,,,47.544,61.166
co2_excLUC,1904,2029.033,2230.237,60.018,2146.882,2359.079,60.863,2029.033,2230.237,60.018,,,,,,,,,,,,,47.490,61.119
co2_excLUC,1905,2175.154,2376.662,63.909,2299.511,2511.499,63.024,2175.154,2376.662,63.909,,,,,,,,,,,,,47.436,61.071
co2_excLUC,1906,2257.693,2475.725,73.253,2387.179,2616.486,88.668,2257.693,2475.725,73.253,,,,,,,,,,,,,47.378,61.021
co2_excLUC,1907,2563.832,2803.017,101.932,2714.195,2965.933,95.777,2563.832,2803.017,101.932,,,,,,,,,,,,,47.318,60.968
co2_excLUC,1908,2433.666,2680.586,109.809,2586.455,2846.470,110.419,2433.666,2680.586,109.809,,,,,,,,,,,,,47.249,60.909
co2_excLUC,1909,2537.627,2792.985,114.126,2688.961,2957.834,110.200,2537.628,2792.986,114.126,,,,,,,,,,,,,47.185,60.852
co2_excLUC,1910,2678.836,2930.728,119.545,2838.233,3103.333,115.015,2678.836,2930.728,119.545,,,,,,,,,,,,,47.118,60.793
co2_excLUC,1911,2706.087,2968.700,128.507,2865.302,3141.229,132.901,2706.087,2968.700,128.507,,,,,,,,,,,,,47.046,60.731
co2_excLUC,1912,2836.694,3125.952,127.977,3009.466,3313.123,122.404,2836.694,3125.952,127.977,,,,,,,,,,,,,46.974,60.668
co2_excLUC,1913,3068.647,3376.728,148.118,3253.425,3576.561,138.119,3068.648,3376.728,148.118,,,,,,,,,,,,,46.898,60.601
co2_excLUC,1914,2787.609,3056.847,140.903,2956.114,3239.633,135.329,2787.609,3056.847,140.903,,,,,,,,,,,,,46.816,60.529
co2_excLUC,1915,2751.989,3009.476,138.554,2915.561,3186.682,138.413,2751.989,3009.476,138.554,,,,,,,,,,,,,46.741,60.464
co2_excLUC,1916,2969.302,3247.779,152.453,3134.483,3427.861,148.647,2969.302,3247.779,152.453,,,,,,,,,,,,,46.667,60.400
co2_excLUC,1917,3111.753,3390.807,165.691,3257.070,3550.366,159.305,3111.753,3390.807,165.691,,,,,,,,,,,,,46.586,60.330
co2_excLUC,1918,3137.639,3337.256,168.829,3291.721,3500.397,161.056,3137.639,3337.256,168.829,,,,,,,,,,,,,46.501,60.257
co2_excLUC,1919,2760.816,2850.334,190.779,2895.747,2991.515,183.261,2760.816,2850.334,190.779,,,,,,,,,,,,,46.413,60.185
co2_excLUC,1920,3154.543,3317.425,229.333,3301.541,3471.791,217.744,3154.543,3317.425,229.333,,,,,,,,,,,,,46.333,60.126
co2_excLUC,1921,2704.346,2870.133,244.861,2828.770,3001.483,234.783,2704.346,2870.133,244.861,,,,,,,,,,,,,46.244,60.056
co2_excLUC,1922,2852.524,3020.723,243.994,2993.553,3168.381,237.285,2852.524,3020.723,243.994,,,,,,,,,,,,,46.170,59.997
co2_excLUC,1923,3292.880,3450.660,252.336,3448.429,3612.855,247.339,3292.880,3450.660,252.336,,,,,,,,,,,,,46.090,59.934
co2_excLUC,1924,3279.481,3451.501,264.642,3439.422,3619.328,262.107,3279.481,3451.501,264.642,,,,,,,,,,,,,45.996,59.861
co2_excLUC,1925,3314.519,3483.874,256.759,3498.439,3675.411,257.620,3314.519,3483.874,256.759,,,,,,,,,,,,,45.903,59.789
co2_excLUC,1926,3231.863,3427.526,249.880,3409.062,3613.591,261.857,3231.863,3427.526,249.880,,,,,,,,,,,,,45.808,59.714
co2_excLUC,1927,3530.042,3761.450,251.497,3735.966,3981.052,268.712,3530.042,3761.450,251.497,,,,,,,,,,,,,45.716,59.641
co2_excLUC,1928,3491.248,3740.032,256.279,3683.210,3944.618,290.527,3491.248,3740.032,256.279,,,,,,,,,,,,,45.615,59.559
co2_excLUC,1929,3745.632,4022.322,265.888,3954.390,4244.419,311.219,3745.632,4022.322,265.888,,,,,,,,,,,,,45.515,59.478
co2_excLUC,1930,3403.625,3692.918,265.177,3588.092,3893.131,320.669,3403.625,3692.918,265.177,,,,,,,,,,,,,45.407,59.389
co2_excLUC,1931,2974.772,3286.859,252.460,3137.344,3466.882,301.035,2974.772,3286.859,252.460,,,,,,,,,,,,,45.311,59.309
co2_excLUC,1932,2626.508,2940.541,252.049,2770.164,3101.726,298.140,2626.508,2940.541,252.049,,,,,,,,,,,,,45.228,59.237
co2_excLUC,1933,2759.724,3092.629,270.053,2908.369,3259.602,319.056,2759.724,3092.629,270.053,,,,,,,,,,,,,45.157,59.174
co2_excLUC,1934,2965.816,3349.555,306.630,3126.360,3531.455,364.606,2965.816,3349.555,306.630,,,,,,,,,,,,,45.081,59.107
