measure,year,annex_2,annex_1,non_annex_1,world
ghg_incLUC,1850,6.703,6.748,2.109,3.360
ghg_excLUC,1850,1.622,1.311,0.247,0.534
co2_excLUC,1850,0.836,0.571,0.000,0.154
co2_incLUC,1850,5.581,6.078,1.648,2.843
ghg_incLUC,1851,6.863,6.841,2.178,3.443
ghg_excLUC,1851,1.618,1.310,0.247,0.535
co2_excLUC,1851,0.836,0.572,0.000,0.155
co2_incLUC,1851,5.783,6.212,1.742,2.954
ghg_incLUC,1852,6.943,6.990,2.226,3.526
ghg_excLUC,1852,1.650,1.333,0.247,0.544
co2_excLUC,1852,0.864,0.592,0.000,0.162
co2_incLUC,1852,5.877,6.371,1.805,3.051
ghg_incLUC,1853,7.110,7.014,2.239,3.551
ghg_excLUC,1853,1.690,1.361,0.248,0.554
co2_excLUC,1853,0.898,0.615,0.000,0.169
co2_incLUC,1853,6.054,6.401,1.836,3.090
ghg_incLUC,1854,7.355,7.237,2.235,3.619
ghg_excLUC,1854,1.867,1.482,0.248,0.589
co2_excLUC,1854,1.047,0.717,0.000,0.198
co2_incLUC,1854,6.282,6.611,1.834,3.155
ghg_incLUC,1855,7.380,7.252,2.280,3.665
ghg_excLUC,1855,1.877,1.492,0.249,0.595
co2_excLUC,1855,1.055,0.725,0.000,0.202
co2_incLUC,1855,6.315,6.628,1.888,3.208
ghg_incLUC,1856,7.450,7.302,2.288,3.695
ghg_excLUC,1856,1.948,1.542,0.250,0.612
co2_excLUC,1856,1.115,0.767,0.001,0.216
co2_incLUC,1856,6.379,6.667,1.899,3.236
ghg_incLUC,1857,7.494,7.347,2.312,3.734
ghg_excLUC,1857,1.947,1.543,0.250,0.615
co2_excLUC,1857,1.115,0.768,0.001,0.218
co2_incLUC,1857,6.425,6.708,1.917,3.270
ghg_incLUC,1858,7.556,7.381,2.312,3.753
ghg_excLUC,1858,1.946,1.546,0.251,0.619
co2_excLUC,1858,1.116,0.772,0.002,0.221
co2_incLUC,1858,6.490,6.735,1.918,3.287
ghg_incLUC,1859,7.699,7.479,2.326,3.801
ghg_excLUC,1859,2.017,1.593,0.252,0.636
co2_excLUC,1859,1.176,0.811,0.002,0.233
co2_incLUC,1859,6.617,6.816,1.932,3.330
ghg_incLUC,1860,7.543,7.274,2.148,3.624
ghg_excLUC,1860,2.140,1.678,0.252,0.663
co2_excLUC,1860,1.280,0.883,0.002,0.256
co2_incLUC,1860,6.311,6.471,1.618,3.015
ghg_incLUC,1861,7.301,7.104,2.081,3.536
ghg_excLUC,1861,2.196,1.719,0.253,0.677
co2_excLUC,1861,1.333,0.921,0.002,0.268
co2_incLUC,1861,6.022,6.256,1.499,2.877
ghg_incLUC,1862,7.274,7.053,2.011,3.480
ghg_excLUC,1862,2.201,1.727,0.253,0.682
co2_excLUC,1862,1.340,0.931,0.002,0.273
co2_incLUC,1862,5.975,6.181,1.385,2.782
ghg_incLUC,1863,7.334,7.048,1.994,3.474
ghg_excLUC,1863,2.283,1.788,0.255,0.704
co2_excLUC,1863,1.414,0.985,0.002,0.290
co2_incLUC,1863,6.007,6.147,1.341,2.748
ghg_incLUC,1864,7.337,7.139,2.000,3.513
ghg_excLUC,1864,2.391,1.865,0.256,0.729
co2_excLUC,1864,1.509,1.053,0.003,0.312
co2_incLUC,1864,5.980,6.207,1.335,2.769
ghg_incLUC,1865,7.300,7.055,1.963,3.469
ghg_excLUC,1865,2.476,1.928,0.256,0.751
co2_excLUC,1865,1.585,1.109,0.003,0.330
co2_incLUC,1865,5.921,6.099,1.281,2.706
ghg_incLUC,1866,7.265,7.117,1.951,3.487
ghg_excLUC,1866,2.515,1.960,0.257,0.764
co2_excLUC,1866,1.615,1.134,0.004,0.340
co2_incLUC,1866,5.863,6.137,1.257,2.709
ghg_incLUC,1867,7.390,7.069,1.937,3.472
ghg_excLUC,1867,2.615,2.034,0.257,0.788
co2_excLUC,1867,1.713,1.205,0.003,0.363
co2_incLUC,1867,5.970,6.069,1.235,2.680
ghg_incLUC,1868,7.343,7.068,1.920,3.467
ghg_excLUC,1868,2.641,2.056,0.257,0.798
co2_excLUC,1868,1.742,1.229,0.004,0.372
co2_incLUC,1868,5.908,6.049,1.209,2.664
ghg_incLUC,1869,7.337,7.071,1.926,3.480
