year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1750,9.306,9.306,0.000,0.337,0.337,0.005,,,,,,,,,,,,,,,,,,
1751,9.407,9.407,0.000,18.817,22.042,7.477,,,,,,,,,,,,,,,,,,
1752,9.505,9.505,0.000,28.167,34.616,14.950,,,,,,,,,,,,,,,,,,
1753,9.610,9.610,0.000,37.514,47.187,22.423,,,,,,,,,,,,,,,,,,
1754,9.734,9.734,0.000,46.864,59.762,29.895,,,,,,,,,,,,,,,,,,
1755,9.793,9.793,0.000,56.214,72.336,37.368,,,,,,,,,,,,,,,,,,
1756,9.910,9.910,0.000,66.211,85.557,44.840,,,,,,,,,,,,,,,,,,
1757,10.094,10.094,0.000,75.561,98.132,52.313,,,,,,,,,,,,,,,,,,
1758,10.216,10.216,0.000,84.911,110.706,59.786,,,,,,,,,,,,,,,,,,
1759,10.339,10.339,0.000,94.262,123.281,67.258,,,,,,,,,,,,,,,,,,
1760,10.514,10.514,0.000,103.608,135.852,74.731,,,,,,,,,,,,,,,,,,
1761,10.748,10.748,0.000,113.918,149.387,82.204,,,,,,,,,,,,,,,,,,
1762,10.952,10.952,0.000,123.269,161.961,89.676,,,,,,,,,,,,,,,,,,
1763,11.192,11.192,0.000,132.619,174.536,97.149,,,,,,,,,,,,,,,,,,
1764,11.397,11.397,0.000,141.969,187.110,104.622,,,,,,,,,,,,,,,,,,
1765,11.643,11.643,0.000,151.320,199.685,112.094,,,,,,,,,,,,,,,,,,
1766,11.876,11.876,0.000,161.948,213.537,119.567,,,,,,,,,,,,,,,,,,
1767,12.153,12.153,0.000,171.298,226.112,127.040,,,,,,,,,,,,,,,,,,
1768,12.467,12.467,0.000,180.648,238.687,134.512,,,,,,,,,,,,,,,,,,
1769,12.780,12.780,0.000,189.998,251.261,141.985,,,,,,,,,,,,,,,,,,
1770,13.097,13.097,0.000,199.349,263.836,149.457,,,,,,,,,,,,,,,,,,
1771,13.369,13.369,0.000,210.043,277.755,156.930,,,,,,,,,,,,,,,,,,
1772,13.624,13.624,0.000,219.393,290.329,164.403,,,,,,,,,,,,,,,,,,
1773,13.808,13.808,0.000,228.744,302.904,171.875,,,,,,,,,,,,,,,,,,
1774,14.012,14.012,0.000,238.094,315.479,179.348,,,,,,,,,,,,,,,,,,
1775,14.339,14.339,0.000,247.444,328.053,186.821,,,,,,,,,,,,,,,,,,
1776,14.654,14.654,0.000,258.213,342.046,194.293,,,,,,,,,,,,,,,,,,
1777,14.960,14.960,0.000,267.611,354.669,201.766,,,,,,,,,,,,,,,,,,
1778,15.243,15.243,0.000,277.011,367.293,209.239,,,,,,,,,,,,,,,,,,
1779,15.535,15.535,0.000,286.413,379.919,216.711,,,,,,,,,,,,,,,,,,
1780,15.879,15.879,0.000,295.820,392.551,224.184,,,,,,,,,,,,,,,,,,
1781,16.234,16.234,0.000,307.027,406.982,231.657,,,,,,,,,,,,,,,,,,
1782,16.581,16.581,0.000,316.438,419.617,239.129,,,,,,,,,,,,,,,,,,
1783,17.063,17.063,0.000,325.855,432.259,246.602,,,,,,,,,,,,,,,,,,
1784,17.471,17.471,0.000,335.272,444.900,254.075,,,,,,,,,,,,,,,,,,
1785,17.965,17.965,0.000,344.699,457.552,261.547,,,,,,,,,,,,,,,,,,
1786,18.447,18.447,0.000,356.419,472.495,269.020,,,,,,,,,,,,,,,,,,
1787,18.859,18.859,0.000,365.848,485.149,276.493,,,,,,,,,,,,,,,,,,
1788,19.286,19.286,0.000,375.276,497.802,283.965,,,,,,,,,,,,,,,,,,
1789,19.863,19.863,0.000,384.711,510.461,291.438,,,,,,,,,,,,,,,,,,
1790,20.398,20.398,0.000,394.149,523.123,298.911,,,,,,,,,,,,,,,,,,
1791,20.932,20.932,0.000,405.842,538.040,306.383,,,,,,,,,,,,,,,,,,
1792,21.929,21.929,0.000,415.795,551.218,313.856,,,,,,,,,,,,,,,,,,
1793,22.297,22.297,0.000,425.253,563.900,321.329,,,,,,,,,,,,,,,,,,
1794,22.520,22.520,0.000,434.659,576.530,328.801,,,,,,,,,,,,,,,,,,
1795,22.315,22.315,0.000,444.115,589.211,336.274,,,,,,,,,,,,,,,,,,
1796,22.121,22.121,0.000,454.637,602.957,343.747,,,,,,,,,,,,,,,,,,
1797,22.090,22.090,0.000,465.240,616.785,351.219,,,,,,,,,,,,,,,,,,
1798,23.106,23.106,0.000,475.704,630.473,358.692,,,,,,,,,,,,,,,,,,
1799,27.485,27.485,0.000,486.508,644.502,366.165,,,,,,,,,,,,,,,,,,
1800,32.392,32.798,0.000,497.256,658.889,373.638,,,,,,,,,,,,,,,,,,
1801,31.543,31.986,0.000,506.526,671.421,381.110,,,,,,,,,,,,,,,,,,
1802,39.860,40.310,0.000,523.310,691.437,388.584,,,,,,,,,,,,,,,,,,
1803,29.077,29.539,0.000,535.041,706.403,396.056,,,,,,,,,,,,,,,,,,
1804,31.311,31.769,0.000,545.283,719.866,403.529,,,,,,,,,,,,,,,,,,
1805,30.680,31.252,0.000,555.574,733.497,411.001,,,,,,,,,,,,,,,,,,
1806,32.184,32.705,0.000,566.596,747.692,418.474,,,,,,,,,,,,,,,,,,
1807,35.823,36.201,0.000,578.101,762.275,425.947,,,,,,,,,,,,,,,,,,
1808,34.996,35.498,0.000,585.477,773.003,433.420,,,,,,,,,,,,,,,,,,
1809,35.861,36.334,0.000,594.873,785.593,440.892,,,,,,,,,,,,,,,,,,
1810,38.924,39.492,0.000,604.506,798.547,448.365,,,,,,,,,,,,,,,,,,
1811,39.587,40.177,0.000,616.044,813.333,455.838,,,,,,,,,,,,,,,,,,
1812,40.360,40.815,0.000,626.973,827.348,463.311,,,,,,,,,,,,,,,,,,
1813,40.825,41.206,0.000,636.603,840.127,470.783,,,,,,,,,,,,,,,,,,
1814,41.725,42.227,0.000,646.749,853.621,478.256,,,,,,,,,,,,,,,,,,
1815,42.997,43.587,0.000,657.406,867.592,485.729,,,,,,,,,,,,,,,,,,
1816,44.819,45.497,0.000,670.993,884.494,493.202,,,,,,,,,,,,,,,,,,
1817,48.532,49.276,0.000,682.147,898.939,500.675,,,,,,,,,,,,,,,,,,
1818,50.469,51.392,0.000,691.535,911.735,508.147,,,,,,,,,,,,,,,,,,
1819,50.172,50.930,0.000,701.163,924.419,515.620,,,,,,,,,,,,,,,,,,
1820,49.986,50.733,0.000,711.302,937.771,523.093,,,,,,,,,,,,,,,,,,
1821,51.231,52.059,0.000,721.336,951.112,530.565,,,,,,,,,,,,,,,,,,
1822,53.113,54.022,0.000,732.655,965.738,538.038,,,,,,,,,,,,,,,,,,
1823,55.138,56.358,0.000,744.815,981.440,545.511,,,,,,,,,,,,,,,,,,
1824,56.309,57.584,0.000,756.054,995.959,552.984,,,,,,,,,,,,,,,,,,
1825,59.404,60.731,0.000,767.696,1010.878,560.457,,,,,,,,,,,,,,,,,,
1826,60.162,61.382,0.000,777.817,1024.115,567.930,,,,,,,,,,,,,,,,,,
1827,64.431,65.739,0.000,791.708,1041.321,575.403,,,,,,,,,,,,,,,,,,
1828,65.473,66.682,0.000,801.881,1054.617,582.875,,,,,,,,,,,,,,,,,,
1829,65.241,66.307,0.000,811.073,1066.888,590.348,,,,,,,,,,,,,,,,,,
1830,87.867,88.986,0.003,837.802,1096.882,597.826,,,,,,,,,,,,,,,,,,
1831,82.350,83.248,0.003,842.567,1104.652,605.299,,,,,,,,,,,,,,,,,,
1832,80.956,82.090,0.002,852.249,1117.797,612.770,,,,,,,,,,,,,,,,,,
1833,82.091,83.246,0.003,863.371,1132.168,620.243,,,,,,,,,,,,,,,,,,
1834,87.565,88.763,0.000,874.505,1146.588,627.717,,,,,,,,,,,,,,,,,,
1835,96.139,97.400,0.000,885.923,1161.299,635.190,,,,,,,,,,,,,,,,,,
1836,105.440,106.894,0.000,909.698,1188.497,642.665,,,,,,,,,,,,,,,,,,
1837,104.657,106.199,0.000,919.043,1201.160,650.138,,,,,,,,,,,,,,,,,,
1838,104.196,105.845,0.000,931.841,1217.296,657.611,,,,,,,,,,,,,,,,,,
1839,107.832,109.653,0.000,944.713,1233.561,665.085,,,,,,,,,,,,,,,,,,
1840,116.705,118.809,0.000,961.446,1253.811,672.558,,,,,,,,,,,,,,,,,,
1841,119.883,122.166,0.000,974.518,1270.294,680.032,,,,,,,,,,,,,,,,,,
1842,127.022,129.389,0.000,991.021,1290.118,687.506,,,,,,,,,,,,,,,,,,
1843,130.035,132.369,0.000,1003.628,1305.920,694.980,,,,,,,,,,,,,,,,,,
1844,139.363,141.942,0.024,1021.679,1327.440,702.454,,,,,,,,,,,,,,,,,,
1845,152.157,155.037,0.036,1045.099,1354.409,709.929,,,,,,,,,,,,,,,,,,
1846,154.644,157.656,0.046,1057.581,1370.258,717.402,,,,,,,,,,,,,,,,,,
1847,167.553,170.741,0.056,1081.876,1397.953,724.878,,,,,,,,,,,,,,,,,,
1848,170.535,173.580,0.064,1092.692,1411.872,732.352,,,,,,,,,,,,,,,,,,
1849,181.928,184.932,0.116,1111.952,1434.324,739.827,,,,,,,,,,,,,,,,,,
1850,1290.936,2094.882,1537.861,891.930,1211.493,823.429,,,,1290.936,2094.882,1537.861,1053.273,1399.061,945.557,1082.766,1667.537,1085.541,,,,,,
1851,1347.784,2157.601,1626.338,899.510,1219.531,789.239,,,,1347.784,2157.601,1626.338,1086.404,1423.289,980.535,1130.623,1715.913,1152.666,,,,,,
1852,1380.203,2230.345,1683.590,1146.190,1468.051,754.790,,,,1380.203,2230.345,1683.590,1103.114,1471.461,1004.504,1160.199,1785.526,1197.063,,,,,,
1853,1433.029,2259.173,1710.368,1184.999,1508.209,718.593,,,,1433.029,2259.173,1710.368,1143.791,1481.320,1002.070,1206.795,1807.514,1195.314,,,,,,
1854,1499.014,2352.142,1705.869,1251.850,1576.832,681.931,,,,1499.014,2352.142,1705.869,1200.051,1558.938,1006.056,1268.359,1895.974,1170.146,,,,,,
1855,1518.949,2377.324,1754.300,1283.286,1610.443,643.801,,,,1518.949,2377.324,1754.300,1212.195,1571.616,1020.760,1283.658,1917.454,1219.917,,,,,,
1856,1546.951,2411.286,1762.129,1326.327,1655.482,637.612,,,,1546.950,2411.286,1762.129,1234.154,1595.778,1034.424,1308.492,1951.070,1208.561,,,,,,
1857,1571.184,2446.174,1776.948,1353.469,1684.382,632.513,,,,1571.184,2446.174,1776.948,1253.733,1622.810,1054.564,1330.442,1986.576,1227.966,,,,,,
1858,1600.233,2476.819,1775.571,1379.760,1712.848,628.012,,,,1600.233,2476.819,1775.571,1279.577,1647.578,1043.049,1358.016,2018.727,1228.508,,,,,,
1859,1645.326,2527.726,1787.971,1419.536,1753.622,624.224,,,,1645.326,2527.726,1787.971,1322.812,1694.498,1049.738,1402.238,2071.874,1239.755,,,,,,
1860,1582.327,2419.760,1497.178,1470.527,1806.778,619.519,,,,1582.327,2419.761,1497.178,1362.587,1713.343,1027.021,1331.795,1969.532,1053.759,,,,,,
1861,1522.367,2358.990,1386.920,1506.660,1858.106,625.604,,,,1522.367,2358.990,1386.920,1322.922,1678.000,989.235,1279.825,1920.965,1008.568,,,,,,
1862,1523.178,2349.969,1282.036,1323.945,1650.958,624.668,,,,1523.178,2349.969,1282.036,1340.838,1689.293,969.164,1277.735,1912.262,937.381,,,,,,
1863,1543.823,2356.241,1241.748,1345.537,1677.135,623.221,,,,1543.823,2356.241,1241.748,1377.747,1714.396,965.971,1293.581,1917.454,926.208,,,,,,
1864,1549.574,2399.282,1237.370,1373.538,1708.560,624.153,,,,1549.574,2399.282,1237.370,1399.089,1775.400,971.447,1294.077,1958.722,940.772,,,,,,
1865,1546.914,2377.256,1187.931,1397.673,1736.138,625.799,,,,1546.914,2377.256,1187.931,1411.169,1770.456,951.021,1284.467,1931.823,905.238,,,,,,
1866,1544.675,2412.127,1167.494,1409.910,1751.412,624.833,,,,1544.675,2412.127,1167.494,1423.067,1821.809,946.000,1275.514,1961.936,895.100,,,,,,
1867,1585.994,2405.230,1147.968,1436.060,1780.691,623.821,,,,1585.994,2405.230,1147.968,1479.624,1832.515,942.541,1311.912,1952.093,881.193,,,,,,
1868,1582.827,2417.726,1125.265,1443.514,1790.919,622.188,,,,1582.827,2417.726,1125.265,1492.044,1863.116,930.688,1304.867,1962.898,867.321,,,,,,
1869,1588.327,2429.565,1128.985,1467.855,1818.195,620.051,,,,1588.327,2429.565,1128.985,1511.924,1891.858,944.134,1306.148,1972.712,868.402,,,,,,
1870,1929.340,2862.404,1193.706,1474.035,1827.106,619.239,,,,1929.340,2862.404,1193.706,1612.922,2033.495,956.487,1612.027,2351.976,937.933,,,,,,
1871,2095.889,3017.845,1197.176,1508.667,1857.438,698.686,,,,2095.889,3017.845,1197.176,1730.599,2119.232,957.364,1748.095,2472.122,929.840,,,,,,
1872,2231.760,3205.423,1261.163,1868.481,2219.890,716.899,,,,2231.760,3205.423,1261.163,1822.696,2248.366,991.733,1878.349,2654.735,997.597,,,,,,
1873,2355.279,3320.224,1259.797,1932.670,2286.317,731.536,,,,2355.279,3320.224,1259.798,1909.163,2313.863,980.137,1996.134,2763.749,993.964,,,,,,
1874,2377.785,3385.594,1270.575,1905.464,2262.727,735.724,,,,2377.785,3385.594,1270.575,1900.102,2337.128,986.857,2017.145,2828.465,1002.006,,,,,,
1875,2476.615,3474.692,1263.321,1981.207,2339.787,742.600,,,,2476.615,3474.692,1263.321,1971.930,2389.906,980.863,2119.042,2922.335,1001.117,,,,,,
