year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1850,1937.529,2784.920,847.822,1185.339,1516.135,518.788,,,,1937.529,2784.920,847.822,1309.244,1725.034,619.584,1567.518,2189.217,563.861,,,,,,
1851,2029.429,2881.242,902.697,1191.937,1523.129,485.642,,,,2029.429,2881.242,902.697,1365.331,1771.839,631.985,1674.037,2295.493,573.086,,,,,,
1852,2096.007,2987.006,926.930,1438.996,1771.901,450.940,,,,2096.007,2987.006,926.930,1405.195,1842.763,633.202,1751.260,2411.728,570.861,,,,,,
1853,2154.852,3021.740,947.801,1477.973,1812.228,414.574,,,,2154.852,3021.740,947.801,1450.726,1857.987,625.403,1795.845,2431.616,571.212,,,,,,
1854,2207.531,3100.910,957.101,1545.209,1881.169,377.594,,,,2207.531,3100.910,957.101,1510.068,1938.737,626.256,1841.371,2503.540,562.581,,,,,,
1855,2272.492,3170.818,960.806,1576.964,1914.932,339.311,,,,2272.492,3170.818,960.806,1539.491,1968.824,623.552,1908.759,2576.528,560.844,,,,,,
1856,2302.331,3206.498,966.916,1620.507,1960.353,332.741,,,,2302.331,3206.498,966.916,1577.035,2008.805,621.396,1927.064,2603.225,556.406,,,,,,
1857,2331.255,3246.205,976.917,1656.962,1998.517,318.377,,,,2331.255,3246.205,976.917,1613.922,2053.580,623.795,1960.853,2650.462,564.080,,,,,,
1858,2360.119,3276.411,975.979,1683.990,2027.513,313.347,,,,2360.119,3276.411,975.979,1634.580,2073.147,617.480,1993.902,2687.613,559.622,,,,,,
1859,2416.998,3338.826,976.872,1723.952,2068.675,309.171,,,,2416.998,3338.826,976.872,1684.053,2126.208,618.028,2054.893,2757.036,554.592,,,,,,
1860,2274.950,3152.142,764.797,1776.041,2121.952,304.345,,,,2274.950,3152.142,764.797,1719.841,2141.182,599.182,1884.583,2555.580,467.711,,,,,,
1861,2238.811,3109.579,636.331,1824.923,2183.200,300.511,,,,2238.811,3109.579,636.331,1724.608,2147.760,519.476,1857.893,2533.213,396.320,,,,,,
1862,2182.948,3043.764,588.241,1642.332,1974.527,301.099,,,,2182.948,3043.764,588.241,1728.281,2144.418,514.039,1797.185,2465.527,384.117,,,,,,
1863,2204.964,3051.501,546.489,1665.166,2001.397,298.959,,,,2204.964,3051.501,546.489,1775.757,2179.954,500.413,1823.940,2481.542,362.119,,,,,,
1864,2212.389,3109.617,527.034,1681.576,2034.030,298.683,,,,2212.389,3109.617,527.034,1801.936,2259.293,487.554,1835.330,2542.129,357.365,,,,,,
1865,2198.901,3076.402,488.785,1707.374,2062.711,299.227,,,,2198.901,3076.402,488.785,1813.123,2252.906,468.572,1815.493,2504.778,332.283,,,,,,
1866,2187.751,3102.456,477.165,1720.153,2078.426,297.820,,,,2187.751,3102.456,477.165,1824.227,2303.600,464.208,1799.501,2528.209,328.828,,,,,,
1867,2221.415,3088.585,464.613,1747.548,2108.372,296.140,,,,2221.415,3088.585,464.613,1881.688,2315.740,459.316,1824.031,2507.345,325.941,,,,,,
