year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1750,,,,160.020,265.900,517.951,,,,,,,,,,,,,,,,,,
1751,,,,181.770,291.583,527.406,,,,,,,,,,,,,,,,,,
1752,,,,194.363,308.109,536.862,,,,,,,,,,,,,,,,,,
1753,,,,206.951,324.629,546.317,,,,,,,,,,,,,,,,,,
1754,,,,219.542,341.153,555.772,,,,,,,,,,,,,,,,,,
1755,,,,232.131,357.676,565.227,,,,,,,,,,,,,,,,,,
1756,,,,245.485,374.962,574.682,,,,,,,,,,,,,,,,,,
1757,,,,258.072,391.482,584.137,,,,,,,,,,,,,,,,,,
1758,,,,270.658,408.001,593.592,,,,,,,,,,,,,,,,,,
1759,,,,283.243,424.519,603.047,,,,,,,,,,,,,,,,,,
1760,,,,295.823,441.031,612.501,,,,,,,,,,,,,,,,,,
1761,,,,309.584,458.750,621.729,,,,,,,,,,,,,,,,,,
1762,,,,322.208,475.330,630.956,,,,,,,,,,,,,,,,,,
1763,,,,334.830,491.909,640.184,,,,,,,,,,,,,,,,,,
1764,,,,347.451,508.487,649.411,,,,,,,,,,,,,,,,,,
1765,,,,360.071,525.064,658.638,,,,,,,,,,,,,,,,,,
1766,,,,374.203,543.153,667.866,,,,,,,,,,,,,,,,,,
1767,,,,386.820,559.727,677.093,,,,,,,,,,,,,,,,,,
1768,,,,399.437,576.300,686.320,,,,,,,,,,,,,,,,,,
1769,,,,412.052,592.872,695.546,,,,,,,,,,,,,,,,,,
1770,,,,424.666,609.443,704.773,,,,,,,,,,,,,,,,,,
1771,,,,439.184,627.942,718.115,,,,,,,,,,,,,,,,,,
1772,,,,452.109,644.849,731.456,,,,,,,,,,,,,,,,,,
1773,,,,465.033,661.755,744.796,,,,,,,,,,,,,,,,,,
1774,,,,477.955,678.659,758.136,,,,,,,,,,,,,,,,,,
1775,,,,490.876,695.561,771.476,,,,,,,,,,,,,,,,,,
1776,,,,505.475,714.141,784.815,,,,,,,,,,,,,,,,,,
1777,,,,518.442,731.090,798.154,,,,,,,,,,,,,,,,,,
1778,,,,531.409,748.039,811.493,,,,,,,,,,,,,,,,,,
1779,,,,544.377,764.988,824.830,,,,,,,,,,,,,,,,,,
1780,,,,557.349,781.942,838.168,,,,,,,,,,,,,,,,,,
1781,,,,572.736,801.335,848.244,,,,,,,,,,,,,,,,,,
1782,,,,585.994,818.601,858.320,,,,,,,,,,,,,,,,,,
1783,,,,599.259,835.872,868.395,,,,,,,,,,,,,,,,,,
1784,,,,612.520,853.140,878.471,,,,,,,,,,,,,,,,,,
1785,,,,625.822,870.448,888.546,,,,,,,,,,,,,,,,,,
1786,,,,641.805,890.438,898.621,,,,,,,,,,,,,,,,,,
1787,,,,655.075,907.714,908.696,,,,,,,,,,,,,,,,,,
1788,,,,668.341,924.987,918.771,,,,,,,,,,,,,,,,,,
1789,,,,681.614,942.266,928.845,,,,,,,,,,,,,,,,,,
1790,,,,694.887,959.546,938.919,,,,,,,,,,,,,,,,,,
1791,,,,710.924,979.616,946.808,,,,,,,,,,,,,,,,,,
1792,,,,724.856,997.581,954.695,,,,,,,,,,,,,,,,,,
1793,,,,738.241,1014.999,962.583,,,,,,,,,,,,,,,,,,
1794,,,,751.566,1032.357,970.471,,,,,,,,,,,,,,,,,,
1795,,,,764.944,1049.769,978.359,,,,,,,,,,,,,,,,,,
1796,,,,779.574,1068.432,986.247,,,,,,,,,,,,,,,,,,
1797,,,,794.306,1087.196,994.135,,,,,,,,,,,,,,,,,,
1798,,,,808.868,1105.791,1002.023,,,,,,,,,,,,,,,,,,
1799,,,,823.829,1124.785,1009.912,,,,,,,,,,,,,,,,,,
1800,,,,838.763,1144.200,1017.800,,,,,,,,,,,,,,,,,,
1801,,,,852.528,1162.067,1029.715,,,,,,,,,,,,,,,,,,
1802,,,,874.915,1188.525,1041.631,,,,,,,,,,,,,,,,,,
1803,,,,890.725,1208.408,1053.545,,,,,,,,,,,,,,,,,,
1804,,,,906.219,1227.961,1065.459,,,,,,,,,,,,,,,,,,
1805,,,,920.550,1246.479,1077.373,,,,,,,,,,,,,,,,,,
1806,,,,936.378,1266.313,1089.286,,,,,,,,,,,,,,,,,,
1807,,,,952.576,1286.414,1101.199,,,,,,,,,,,,,,,,,,
1808,,,,964.255,1302.292,1113.112,,,,,,,,,,,,,,,,,,
1809,,,,978.143,1320.210,1125.023,,,,,,,,,,,,,,,,,,
1810,,,,992.920,1339.153,1136.935,,,,,,,,,,,,,,,,,,
1811,,,,1010.414,1360.931,1146.242,,,,,,,,,,,,,,,,,,
1812,,,,1027.210,1381.836,1155.548,,,,,,,,,,,,,,,,,,
1813,,,,1042.421,1401.226,1164.854,,,,,,,,,,,,,,,,,,
1814,,,,1058.267,1421.464,1174.160,,,,,,,,,,,,,,,,,,
1815,,,,1074.723,1442.276,1183.466,,,,,,,,,,,,,,,,,,
1816,,,,1094.529,1466.437,1192.772,,,,,,,,,,,,,,,,,,
1817,,,,1111.477,1487.715,1202.077,,,,,,,,,,,,,,,,,,
1818,,,,1126.357,1507.051,1211.383,,,,,,,,,,,,,,,,,,
1819,,,,1141.584,1526.354,1220.688,,,,,,,,,,,,,,,,,,
1820,,,,1157.406,1546.421,1229.993,,,,,,,,,,,,,,,,,,
1821,,,,1173.465,1567.066,1241.944,,,,,,,,,,,,,,,,,,
1822,,,,1191.055,1589.240,1253.894,,,,,,,,,,,,,,,,,,
1823,,,,1209.590,1612.615,1265.844,,,,,,,,,,,,,,,,,,
1824,,,,1227.188,1634.769,1277.793,,,,,,,,,,,,,,,,,,
1825,,,,1245.101,1657.233,1289.742,,,,,,,,,,,,,,,,,,
1826,,,,1261.288,1677.797,1301.690,,,,,,,,,,,,,,,,,,
1827,,,,1282.097,1703.198,1313.637,,,,,,,,,,,,,,,,,,
1828,,,,1298.354,1723.839,1325.584,,,,,,,,,,,,,,,,,,
1829,,,,1313.464,1743.283,1337.530,,,,,,,,,,,,,,,,,,
1830,,,,1349.452,1783.831,1349.483,,,,,,,,,,,,,,,,,,
1831,,,,1360.046,1799.556,1360.564,,,,,,,,,,,,,,,,,,
1832,,,,1376.524,1821.649,1371.641,,,,,,,,,,,,,,,,,,
1833,,,,1394.523,1845.042,1382.721,,,,,,,,,,,,,,,,,,
1834,,,,1412.552,1868.502,1393.800,,,,,,,,,,,,,,,,,,
1835,,,,1430.883,1892.272,1404.879,,,,,,,,,,,,,,,,,,
1836,,,,1463.814,1930.781,1415.959,,,,,,,,,,,,,,,,,,
1837,,,,1479.619,1952.051,1427.036,,,,,,,,,,,,,,,,,,
1838,,,,1499.305,1977.219,1438.114,,,,,,,,,,,,,,,,,,
1839,,,,1519.094,2002.555,1449.191,,,,,,,,,,,,,,,,,,
1840,,,,1543.276,2032.412,1460.267,,,,,,,,,,,,,,,,,,
1841,,,,1563.245,2057.206,1471.560,,,,,,,,,,,,,,,,,,
1842,,,,1586.990,2085.675,1482.853,,,,,,,,,,,,,,,,,,
1843,,,,1606.441,2109.716,1494.144,,,,,,,,,,,,,,,,,,
1844,,,,1632.154,2140.319,1505.436,,,,,,,,,,,,,,,,,,
1845,,,,1664.467,2177.598,1516.728,,,,,,,,,,,,,,,,,,
1846,,,,1683.241,2201.148,1528.018,,,,,,,,,,,,,,,,,,
1847,,,,1716.701,2239.423,1539.309,,,,,,,,,,,,,,,,,,
1848,,,,1733.694,2260.900,1550.598,,,,,,,,,,,,,,,,,,
1849,,,,1760.988,2292.781,1561.888,,,,,,,,,,,,,,,,,,
1850,1550.641,2325.845,1967.466,1549.270,2081.865,1650.774,,,,,,,,,,,,,,,,,,
1851,1599.614,2376.348,2032.821,1560.063,2095.452,1618.228,,,,,,,,,,,,,,,,,,
1852,1630.719,2447.128,2076.583,1811.682,2351.276,1585.489,,,,,,,,,,,,,,,,,,
1853,1683.136,2475.421,2085.978,1856.217,2399.478,1550.994,,,,,,,,,,,,,,,,,,
1854,1755.030,2574.758,2079.231,1933.391,2480.753,1516.010,,,,,,,,,,,,,,,,,,
1855,1775.259,2601.394,2118.618,1969.323,2521.239,1479.527,,,,,,,,,,,,,,,,,,
1856,1806.851,2640.920,2123.642,2018.929,2575.095,1474.922,,,,,,,,,,,,,,,,,,
