year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1850,2339.406,3166.282,1127.028,2165.506,2716.788,1015.788,,,,,,,,,,,,,,,,,,
1851,2429.618,3257.077,1152.092,2177.364,2731.296,982.319,,,,,,,,,,,,,,,,,,
1852,2498.080,3364.263,1159.448,2431.433,2989.357,947.344,,,,,,,,,,,,,,,,,,
1853,2555.789,3397.866,1163.533,2478.194,3039.704,910.703,,,,,,,,,,,,,,,,,,
1854,2622.660,3491.771,1162.218,2559.221,3124.675,872.023,,,,,,,,,,,,,,,,,,
1855,2683.304,3558.468,1161.544,2597.520,3167.263,833.436,,,,,,,,,,,,,,,,,,
1856,2720.753,3603.652,1160.911,2649.654,3223.424,826.526,,,,,,,,,,,,,,,,,,
1857,2764.666,3660.454,1162.334,2696.791,3274.420,806.960,,,,,,,,,,,,,,,,,,
1858,2797.660,3697.137,1157.897,2729.228,3311.024,801.543,,,,,,,,,,,,,,,,,,
1859,2862.311,3769.622,1156.129,2777.809,3362.760,796.952,,,,,,,,,,,,,,,,,,
1860,2780.750,3657.525,1049.584,2840.209,3427.977,791.681,,,,,,,,,,,,,,,,,,
1861,2787.873,3661.627,941.798,2915.620,3512.500,773.568,,,,,,,,,,,,,,,,,,
1862,2755.156,3622.791,920.150,2737.975,3310.592,774.591,,,,,,,,,,,,,,,,,,
1863,2796.708,3653.903,894.753,2770.059,3348.546,772.990,,,,,,,,,,,,,,,,,,
1864,2815.088,3734.358,879.038,2789.673,3395.025,769.872,,,,,,,,,,,,,,,,,,
1865,2815.835,3718.796,851.836,2823.437,3433.587,770.827,,,,,,,,,,,,,,,,,,
1866,2818.867,3762.608,845.713,2844.385,3459.456,769.979,,,,,,,,,,,,,,,,,,
1867,2863.660,3763.349,839.179,2877.975,3497.576,768.718,,,,,,,,,,,,,,,,,,
1868,2870.494,3788.584,823.166,2891.911,3515.335,767.091,,,,,,,,,,,,,,,,,,
1869,2900.158,3826.312,819.058,2925.816,3553.093,765.149,,,,,,,,,,,,,,,,,,
1870,3169.942,4169.055,850.776,2938.169,3573.432,760.705,,,,,,,,,,,,,,,,,,
1871,3292.431,4273.973,881.006,3048.086,3681.392,778.264,,,,,,,,,,,,,,,,,,
1872,3457.431,4488.485,912.449,3441.014,4079.780,783.768,,,,,,,,,,,,,,,,,,
1873,3576.045,4597.764,917.142,3532.375,4176.559,790.111,,,,,,,,,,,,,,,,,,
1874,3595.429,4660.455,928.282,3520.678,4172.184,788.704,,,,,,,,,,,,,,,,,,
1875,3703.695,4760.812,928.343,3620.608,4277.711,792.268,,,,,,,,,,,,,,,,,,
1876,3748.271,4828.691,946.618,3661.113,4330.967,795.983,,,,,,,,,,,,,,,,,,
1877,3836.299,4932.149,967.363,3712.708,4386.439,800.548,,,,,,,,,,,,,,,,,,
1878,3901.654,5006.425,972.658,3750.866,4412.800,821.744,,,,,,,,,,,,,,,,,,
1879,4008.763,5130.473,978.438,3839.376,4507.669,827.435,,,,,,,,,,,,,,,,,,
1880,4087.087,5237.515,1030.364,3984.026,4658.996,831.729,,,,,,,,,,,,,,,,,,
1881,4074.896,5239.271,1059.060,4040.943,4721.945,948.076,,,,,,,,,,,,,,,,,,
1882,4203.028,5387.955,1060.913,3926.362,4612.862,961.072,,,,,,,,,,,,,,,,,,
1883,4303.055,5507.539,1083.048,3993.948,4689.993,988.131,,,,,,,,,,,,,,,,,,
1884,4304.135,5534.731,1086.722,4010.939,4712.066,1011.018,,,,,,,,,,,,,,,,,,
1885,4351.111,5602.293,1046.052,4031.570,4740.308,1021.787,,,,,,,,,,,,,,,,,,
1886,4373.629,5612.596,1060.941,4056.924,4771.254,1031.537,,,,,,,,,,,,,,,,,,
1887,4499.445,5730.420,1073.172,4111.912,4833.331,1041.077,,,,,,,,,,,,,,,,,,
1888,4600.191,5852.263,1086.705,4236.321,4967.803,1050.136,,,,,,,,,,,,,,,,,,
1889,4602.659,5876.673,1111.760,4228.353,4969.879,1059.119,,,,,,,,,,,,,,,,,,
1890,4912.455,6299.033,1111.917,4367.626,5117.962,1051.584,,,,,,,,,,,,,,,,,,
1891,5042.403,6458.107,1127.161,4474.600,5237.741,1003.648,,,,,,,,,,,,,,,,,,
1892,5026.667,6459.504,1128.539,4552.754,5320.891,998.309,,,,,,,,,,,,,,,,,,
1893,5032.658,6473.339,1145.477,4541.760,5323.962,994.940,,,,,,,,,,,,,,,,,,
1894,5129.942,6626.078,1149.735,4625.475,5413.639,1043.584,,,,,,,,,,,,,,,,,,
1895,5231.624,6720.357,1152.077,4745.824,5550.424,1038.088,,,,,,,,,,,,,,,,,,
1896,5297.708,6795.432,1161.874,4795.072,5609.003,1058.558,,,,,,,,,,,,,,,,,,
