year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
1851,0.000088,0.000089,0.000090,0.000535,0.000795,0.001359,0.000199,0.000234,0.000290,0.000742,0.001090,0.001874
1852,0.000179,0.000183,0.000183,0.001082,0.001619,0.002766,0.000403,0.000473,0.000584,0.001498,0.002211,0.003795
1853,0.000275,0.000281,0.000281,0.001650,0.002452,0.004186,0.000613,0.000720,0.000884,0.002278,0.003345,0.005730
1854,0.000387,0.000395,0.000396,0.002246,0.003323,0.005640,0.000853,0.000996,0.001212,0.003099,0.004533,0.007712
1855,0.000502,0.000513,0.000513,0.002848,0.004204,0.007120,0.001096,0.001276,0.001543,0.003929,0.005731,0.009718
1856,0.000623,0.000637,0.000638,0.003462,0.005098,0.008616,0.001346,0.001564,0.001881,0.004771,0.006946,0.011739
1857,0.000746,0.000764,0.000765,0.004086,0.006007,0.010134,0.001598,0.001854,0.002219,0.005623,0.008177,0.013782
1858,0.000870,0.000891,0.000893,0.004722,0.006929,0.011664,0.001848,0.002144,0.002558,0.006487,0.009421,0.015833
1859,0.001002,0.001027,0.001030,0.005378,0.007874,0.013221,0.002113,0.002448,0.002908,0.007377,0.010694,0.017915
1860,0.001146,0.001175,0.001179,0.006020,0.008790,0.014674,0.002398,0.002773,0.003280,0.008262,0.011948,0.019899
1861,0.001298,0.001332,0.001337,0.006639,0.009685,0.016076,0.002693,0.003109,0.003661,0.009128,0.013186,0.021837
1862,0.001452,0.001491,0.001497,0.007261,0.010578,0.017448,0.002987,0.003446,0.004043,0.009995,0.014424,0.023744
1863,0.001616,0.001661,0.001668,0.007894,0.011477,0.018818,0.003295,0.003799,0.004443,0.010880,0.015676,0.025658
1864,0.001792,0.001844,0.001852,0.008531,0.012398,0.020211,0.003620,0.004171,0.004863,0.011776,0.016958,0.027603
1865,0.001978,0.002039,0.002048,0.009167,0.013310,0.021581,0.003958,0.004558,0.005297,0.012676,0.018238,0.029529
1866,0.002170,0.002240,0.002250,0.009804,0.014240,0.022962,0.004308,0.004959,0.005745,0.013584,0.019547,0.031476
1867,0.002375,0.002455,0.002467,0.010461,0.015169,0.024338,0.004669,0.005374,0.006206,0.014512,0.020856,0.033417
1868,0.002585,0.002676,0.002689,0.011119,0.016107,0.025714,0.005035,0.005797,0.006674,0.015444,0.022178,0.035362
1869,0.002808,0.002911,0.002926,0.011780,0.017051,0.027100,0.005418,0.006238,0.007160,0.016385,0.023515,0.037323
1870,0.003035,0.003151,0.003167,0.012554,0.018139,0.028652,0.005799,0.006679,0.007648,0.017433,0.024992,0.039448
1871,0.003275,0.003406,0.003424,0.013391,0.019282,0.030257,0.006199,0.007142,0.008162,0.018554,0.026535,0.041646
1872,0.003541,0.003688,0.003708,0.014281,0.020499,0.031962,0.006640,0.007648,0.008721,0.019746,0.028173,0.043971
1873,0.003823,0.003988,0.004010,0.015221,0.021759,0.033708,0.007103,0.008178,0.009307,0.020997,0.029866,0.046358
1874,0.004085,0.004268,0.004293,0.016166,0.023043,0.035481,0.007521,0.008665,0.009853,0.022232,0.031564,0.048762
1875,0.004371,0.004573,0.004600,0.017152,0.024362,0.037287,0.007971,0.009186,0.010435,0.023521,0.033312,0.051224
1876,0.004656,0.004882,0.004911,0.018156,0.025709,0.039122,0.008414,0.009706,0.011019,0.024825,0.035090,0.053726
1877,0.004948,0.005196,0.005228,0.019189,0.027090,0.041004,0.008864,0.010235,0.011614,0.026164,0.036909,0.056290
1878,0.005239,0.005513,0.005547,0.020242,0.028499,0.042913,0.009312,0.010764,0.012213,0.027523,0.038761,0.058896
1879,0.005551,0.005852,0.005889,0.021337,0.029957,0.044870,0.009783,0.011319,0.012842,0.028931,0.040671,0.061567
1880,0.005906,0.006235,0.006276,0.022435,0.031428,0.046886,0.010309,0.011932,0.013530,0.030356,0.042612,0.064323
1881,0.006273,0.006631,0.006676,0.023510,0.032880,0.048908,0.010851,0.012563,0.014241,0.031766,0.044542,0.067105
