Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Climate Watch,Agriculture,All GHG,8.4091,8.75282,8.77927,8.85799,8.94022,9.39945,10.4968,11.5189,12.3471,13.4486,11.5489,9.73686,12.1443,12.5088,12.3909,12.6957,12.7172,12.8086,14.175,14.6281,16.6971,16.8025,16.6642,16.5973,17.0828,16.3243,16.0603,15.9002,15.9852,15.8457,15.9242,15.7925,15.8465,16.0746
AFG,Climate Watch,Agriculture,CH4,6.00415,6.27554,6.34787,6.39765,6.63515,6.99484,7.88376,8.63558,9.20578,10.0666,8.6376,7.19247,9.17749,9.43298,9.34346,9.51627,9.69052,9.85233,10.9767,11.1922,12.8964,12.9173,12.7448,12.6389,12.8534,12.1346,11.8913,11.545,11.7801,11.8692,12.0128,12.0292,12.1246,12.249
AFG,Climate Watch,Agriculture,N2O,2.40495,2.47727,2.4314,2.46034,2.30508,2.40461,2.61301,2.88333,3.14131,3.38206,2.91129,2.5444,2.96686,3.0758,3.04739,3.17939,3.02664,2.95623,3.19823,3.43586,3.80071,3.88522,3.91943,3.95841,4.2294,4.18968,4.16895,4.35527,4.2051,3.97643,3.9114,3.76332,3.7219,3.82557
AFG,Climate Watch,Building,All GHG,0.154218,0.164309,0.177236,0.193748,0.197054,0.197339,0.206908,0.204158,0.204558,0.208838,0.203816,0.206481,0.213923,0.22104,0.251316,0.293533,0.278875,0.282308,0.232855,0.38508,0.497303,0.821339,0.835883,1.33999,1.72638,2.48697,2.59781,2.21948,2.17525,2.37313,2.37859,2.16169,2.11726,2.13083
AFG,Climate Watch,Building,CH4,5.1e-05,5.9e-05,6.6e-05,7.3e-05,8e-05,8.5e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,0.0001,0.000106,0.000114,0.000123,0.000128,0.000128,9e-06,1.5e-05,1.9e-05,3.3e-05,3.3e-05,5.2e-05,6.6e-05,9.4e-05,9.8e-05,8.5e-05,8.4e-05,9.1e-05,9.1e-05,8.3e-05,8.2e-05,8.2e-05
AFG,Climate Watch,Building,CO2,0.154157,0.164239,0.177158,0.193661,0.196959,0.197238,0.206798,0.204048,0.204448,0.208728,0.203706,0.206371,0.213804,0.220914,0.25118,0.293387,0.278722,0.282155,0.232844,0.385062,0.49728,0.8213,0.835844,1.33992,1.7263,2.48685,2.59769,2.21938,2.17515,2.37302,2.37848,2.16159,2.11716,2.13073
AFG,Climate Watch,Building,N2O,1e-05,1.1e-05,1.2e-05,1.4e-05,1.5e-05,1.6e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.9e-05,2e-05,2.2e-05,2.3e-05,2.5e-05,2.5e-05,2e-06,3e-06,4e-06,6e-06,6e-06,1e-05,1.3e-05,1.9e-05,2e-05,1.7e-05,1.7e-05,1.8e-05,1.8e-05,1.7e-05,1.6e-05,1.7e-05
AFG,Climate Watch,Bunker Fuels,All GHG,0.019411,0.019433,0.019436,0.019452,0.016191,0.016216,0.016179,0.0162,0.016214,0.016266,0.016293,0.016275,0.016336,0.026132,0.032639,0.065088,0.081288,0.113776,0.155447,0.236481,0.348536,0.981982,0.28491,0.186464,0.184198,0.092809,0.070573,0.194465,0.172364,0.030644,0.036609,0.039811,0.019142,0.025502
AFG,Climate Watch,Bunker Fuels,CH4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,3e-06,3e-06,5e-06,6e-06,9e-06,1.4e-05,3.9e-05,1.1e-05,7e-06,7e-06,4e-06,3e-06,7e-06,7e-06,1e-06,1e-06,2e-06,1e-06,1e-06
AFG,Climate Watch,Bunker Fuels,CO2,0.01941,0.019432,0.019435,0.019451,0.01619,0.016215,0.016178,0.016199,0.016213,0.016265,0.016292,0.016274,0.016335,0.026131,0.032638,0.065084,0.081284,0.11377,0.15544,0.23647,0.348519,0.981935,0.284897,0.186456,0.18419,0.092804,0.070569,0.194457,0.172356,0.030643,0.036608,0.039809,0.019141,0.025501
